Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
10567at314145	Single	OW443361.1	117526866	117538499	-	6202	1027	0.9205	0.8530997304582211	0	10567at314145_109478_0:000bf0	117538447_117538499_-|117533077_117533406_-|117532754_117532783_-|117532481_117532604_-|117532092_117532207_-|117531851_117531978_-|117531386_117531483_-|117529195_117530130_-|117526864_117528861_-
105690at314145	Single	OW443372.1	28837928	28838378	-	757	148	0.9867	0.7246376811594203	0	105690at314145_9915_0:001cb7	28837929_28838378_-
10569at314145	Single	OW443378.1	54290657	54456003	+	6007	925	0.9183	1.0	0	10569at314145_132908_0:002611	54290658_54290740_+|54291430_54291633_+|54356400_54356510_+|54362280_54362360_+|54388713_54388817_+|54389306_54389438_+|54393777_54393883_+|54394579_54394704_+|54398180_54398282_+|54399407_54399566_+|54401388_54401496_+|54401614_54401753_+|54405274_54405358_+|54412409_54412494_+|54418809_54418908_+|54420450_54420723_+|54421415_54421537_+|54424793_54424918_+|54431114_54431231_+|54432229_54432339_+|54432482_54432578_+|54436140_54436247_+|54438308_54438421_+|54438673_54438807_+|54439985_54440148_+|54444041_54444146_+|54445151_54445243_+|54447985_54448104_+|54449285_54449393_+|54450881_54451011_+|54455883_54456006_+
105702at314145	Single	OW443374.1	45451395	45452019	+	683	186	0.6731	1.0	0	105702at314145_109478_0:000275	45451396_45452022_+
105708at314145	Single	OW443360.1	200091478	200094695	+	1004	143	0.9945	1.0	0	105708at314145_118797_0:002617	200091479_200091515_+|200092530_200092619_+|200092806_200092832_+|200092944_200093030_+|200093156_200093200_+|200093960_200094047_+|200094274_200094347_+|200094595_200094698_+
105718at314145	Single	OW443380.1	18641571	18645297	-	683	124	0.9921	1.0	0	105718at314145_109478_0:0033ef	18645199_18645297_-|18643572_18643643_-|18643389_18643487_-|18641569_18641682_-
105758at314145	Single	OW443376.1	27876075	27878543	+	539	124	0.6203	1.0	0	105758at314145_9407_0:001e71	27876076_27876133_+|27877802_27878168_+|27878409_27878543_+
105760at314145	Single	OW443370.1	30801845	30804592	+	550	114	0.7986	1.0	0	105760at314145_9837_0:003dbc	30801846_30802015_+|30803841_30803997_+|30804488_30804595_+
105769at314145	Duplicated	OW443364.1	5084673	5098799	+	747	145	0.9797	0.6981132075471698	0	105769at314145_9646_0:0028c3	5084674_5084767_+|5092160_5092401_+|5098692_5098799_+
105769at314145	Duplicated	OW443366.1	57057747	57058191	+	747	145	0.9797	0.6981132075471698	0	105769at314145_9646_0:0028c3	57057748_57058191_+
105789at314145	Single	OW443360.1	104859060	104859465	-	641	106	0.9407	0.9642857142857143	0	105789at314145_9874_0:001ba4	104859061_104859465_-
105791at314145	Single	OW443376.1	5751143	5759072	-	591	98	0.8583	1.0	0	105791at314145_9915_0:00269a	5758953_5759072_-|5757229_5757330_-|5751141_5751302_-
105799at314145	Single	OW443375.1	64388735	64397971	-	688	108	0.94	1.0	0	105799at314145_9940_0:003afe	64397776_64397971_-|64390545_64390737_-|64388733_64388794_-
105805at314145	Single	OW443376.1	49939022	49939785	+	498	76	0.94	0.8083333333333333	0	105805at314145_59538_0:000bd6	49939023_49939152_+|49939388_49939489_+|49939718_49939788_+
105807at314145	Single	OW443380.1	79803	81129	+	682	105	0.898	0.906832298136646	0	105807at314145_30538_0:003173	79804_79948_+|80112_80252_+|80975_81132_+
105810at314145	Single	OW443376.1	15602628	15603773	+	794	107	0.9688	1.0	0	105810at314145_109478_0:0010cf	15602629_15602683_+|15602824_15602967_+|15603060_15603174_+|15603337_15603473_+|15603745_15603776_+
105830at314145	Single	OW443376.1	7160378	7160989	-	590	127	0.8696	0.9517241379310345	0	105830at314145_30521_0:000460	7160790_7160989_-|7160376_7160592_-
105831at314145	Single	OW443377.1	16278253	16279651	-	893	128	0.9497	0.9470899470899471	0	105831at314145_9838_0:0014e3	16279199_16279651_-|16278251_16278337_-
105837at314145	Single	OW443362.1	69007466	69014741	+	879	109	0.9943	1.0	0	105837at314145_9733_0:0033da	69007467_69007527_+|69011014_69011064_+|69011214_69011273_+|69012931_69013044_+|69013430_69013528_+|69013738_69013774_+|69014639_69014741_+
105847at314145	Single	OW443370.1	82339272	82340698	+	1640	252	0.9803	1.0	0	105847at314145_118797_0:002719	82339273_82339827_+|82340161_82340346_+|82340525_82340701_+
105870at314145	Single	OW443360.1	95802007	95803239	+	500	105	0.7518	0.9513888888888888	0	105870at314145_9407_0:0008c4	95802008_95802080_+|95802289_95802411_+|95802925_95803087_+|95803191_95803239_+
105878at314145	Single	OW443378.1	55190146	55225888	+	500	113	0.8772	0.9661016949152542	0	105878at314145_109478_0:0001ca	55190147_55190198_+|55192487_55192560_+|55201221_55201297_+|55207767_55207837_+|55225821_55225891_+
10590at314145	Single	OW443375.1	82238556	82325267	-	6489	1438	0.904	1.0	0	10590at314145_109478_0:0031bb	82325183_82325267_-|82321080_82321651_-|82306483_82306607_-|82304160_82304382_-|82300200_82300397_-|82299471_82299574_-|82297322_82297382_-|82295867_82295899_-|82292700_82292804_-|82287958_82288902_-|82286291_82286407_-|82283884_82283941_-|82283277_82283360_-|82281842_82281998_-|82279801_82279966_-|82279487_82279702_-|82273501_82273617_-|82271282_82271388_-|82266545_82266665_-|82248606_82248658_-|82242592_82242709_-|82242364_82242514_-|82241775_82241824_-|82239569_82239693_-|82238554_82238779_-
105912at314145	Single	OW443368.1	10387657	10389654	-	1080	203	0.8996	1.0	0	105912at314145_32536_0:0028c3	10389430_10389654_-|10388466_10388568_-|10387655_10388046_-
105915at314145	Single	OW443376.1	43461707	43464219	+	620	104	0.907	1.0	0	105915at314145_109478_0:000cb4	43461708_43461822_+|43462189_43462328_+|43463239_43463349_+|43464199_43464222_+
10591at314145	Single	OW443368.1	95243904	95282391	+	5786	1127	0.8648	1.0	0	10591at314145_42254_0:001087	95243905_95243964_+|95244613_95244736_+|95245674_95245844_+|95253108_95253233_+|95254920_95256268_+|95258703_95258984_+|95259533_95259673_+|95259786_95259923_+|95263007_95263162_+|95265414_95265524_+|95265697_95265786_+|95270266_95270406_+|95270567_95270669_+|95271885_95272179_+|95273644_95273904_+|95275960_95276076_+|95276350_95276452_+|95281204_95281289_+|95282254_95282394_+
105927at314145	Single	OW443360.1	208069786	208075778	-	1717	150	0.9969	1.0	0	105927at314145_9739_0:001327	208075705_208075778_-|208072959_208073151_-|208070716_208070778_-|208069784_208070410_-
105935at314145	Single	OW443362.1	93685904	93691684	+	560	100	0.9727	1.0	0	105935at314145_9713_0:003ed6	93685905_93685945_+|93686588_93686663_+|93688962_93689033_+|93689128_93689239_+|93691656_93691687_+
105944at314145	Single	OW443363.1	136041793	136043497	-	636	151	0.8417	1.0	0	105944at314145_30521_0:0028a4	136043359_136043497_-|136042835_136042963_-|136042084_136042221_-|136041791_136041880_-
105945at314145	Single	OW443364.1	90624428	90638229	+	824	144	0.9264	1.0	0	105945at314145_9755_0:000dd4	90624429_90624457_+|90627276_90627350_+|90629588_90629632_+|90630958_90631004_+|90637061_90637089_+|90637966_90638232_+
105948at314145	Single	OW443376.1	72016587	72019420	-	719	145	0.8353	1.0	0	105948at314145_132908_0:0038d5	72019323_72019420_-|72018526_72018636_-|72016585_72016885_-
105965at314145	Single	OW443370.1	66970233	66976322	-	923	167	0.9029	0.9155555555555556	0	105965at314145_225400_0:001201	66976278_66976322_-|66976016_66976126_-|66973095_66973243_-|66971479_66971566_-|66971030_66971126_-|66970231_66970361_-
1059at314145	Single	OW443371.1	21483643	22004554	-	13504	2164	0.9488	1.0	0	1059at314145_143302_0:003c6c	22004463_22004554_-|21959592_21959662_-|21900715_21900830_-|21899843_21899929_-|21898049_21898207_-|21892027_21892125_-|21891675_21891758_-|21891233_21891379_-|21886950_21887045_-|21873718_21873762_-|21861820_21861971_-|21856654_21856753_-|21855959_21856119_-|21840316_21840457_-|21838091_21838252_-|21833798_21833970_-|21832771_21832890_-|21832469_21832654_-|21830853_21831104_-|21824717_21824861_-|21822891_21823041_-|21795659_21795852_-|21791997_21792126_-|21786903_21786960_-|21785302_21785467_-|21784068_21784241_-|21757067_21757378_-|21752119_21752241_-|21751273_21751473_-|21748706_21748957_-|21745930_21746055_-|21726229_21726357_-|21724892_21725012_-|21708878_21709068_-|21703450_21703592_-|21698565_21698673_-|21650608_21650716_-|21649467_21649654_-|21644700_21644883_-|21643735_21643991_-|21634380_21634580_-|21631400_21631510_-|21627290_21627385_-|21625716_21625838_-|21592609_21592716_-|21588186_21588378_-|21585296_21585421_-|21577554_21577729_-|21565776_21565940_-|21562325_21562520_-|21557975_21558067_-|21547518_21547648_-|21546206_21546371_-|21534927_21535087_-|21484680_21484841_-|21483641_21483727_-
106007at314145	Single	OW443361.1	173711329	173719666	-	547	114	0.6163	1.0	0	106007at314145_74533_0:003e1f	173719565_173719666_-|173716020_173716174_-|173714261_173714433_-|173711327_173711413_-
106019at314145	Single	OW443368.1	95880817	95882317	-	612	139	0.7578	1.0	0	106019at314145_109478_0:000329	95882281_95882317_-|95881448_95881783_-|95880815_95880927_-
106020at314145	Single	OW443360.1	96918771	96919849	-	703	107	0.8733	1.0	0	106020at314145_143302_0:002df7	96919583_96919849_-|96918769_96918954_-
106025at314145	Single	OW443361.1	174115925	174127611	-	681	145	0.7396	1.0	0	106025at314145_9925_0:001e37	174127537_174127611_-|174126255_174126294_-|174121719_174121915_-|174120836_174120912_-|174118788_174118817_-|174118620_174118682_-|174115923_174115950_-
106027at314145	Single	OW443369.1	17221871	17223863	+	646	140	0.8725	0.8054054054054054	0	106027at314145_109478_0:003202	17221872_17221976_+|17223522_17223866_+
10602at314145	Single	OW443379.1	29359051	29370687	-	5684	903	0.9483	1.0	0	10602at314145_291302_0:002b52	29370676_29370687_-|29370438_29370548_-|29368369_29368466_-|29367700_29367763_-|29366889_29367032_-|29366446_29366555_-|29366159_29366309_-|29365465_29365937_-|29364955_29365109_-|29364594_29364706_-|29364372_29364500_-|29363666_29363755_-|29362207_29362903_-|29361820_29361968_-|29360018_29360221_-|29359863_29359920_-|29359052_29359716_-
106031at314145	Single	OW443361.1	93759011	93762997	-	606	114	0.9308	1.0	0	106031at314145_118797_0:0005d5	93762901_93762997_-|93761755_93761845_-|93759009_93759213_-
106036at314145	Single	OW443379.1	40489183	40490691	-	622	138	0.7673	1.0	0	106036at314145_143302_0:00214f	40490646_40490691_-|40490140_40490205_-|40489566_40489668_-|40489181_40489436_-
106047at314145	Single	OW443376.1	78260655	78268495	-	793	163	0.723	1.0	0	106047at314145_132908_0:002a1a	78268402_78268495_-|78267895_78267934_-|78264295_78264338_-|78264051_78264111_-|78263786_78263823_-|78263460_78263495_-|78263349_78263379_-|78262702_78262757_-|78261560_78261622_-|78261213_78261284_-|78260653_78260756_-
106060at314145	Single	OW443360.1	32596093	32601157	-	664	87	0.9919	1.0	0	106060at314145_118797_0:001db9	32601032_32601157_-|32596091_32596336_-
10606at314145	Single	OW443374.1	71305529	71337971	+	6096	1158	0.9768	1.0	0	10606at314145_419612_0:003666	71305530_71305607_+|71307097_71307172_+|71312417_71312455_+|71313964_71314031_+|71315934_71316005_+|71316382_71316461_+|71316738_71316816_+|71318218_71318335_+|71319306_71319481_+|71320052_71320132_+|71320361_71320525_+|71320851_71320972_+|71322455_71322668_+|71324989_71325092_+|71325270_71325369_+|71325989_71326149_+|71326477_71326618_+|71328613_71328763_+|71330236_71330411_+|71331736_71331897_+|71332660_71332818_+|71333455_71333562_+|71334063_71334171_+|71334824_71335071_+|71335158_71335370_+|71335693_71335884_+|71336010_71336187_+|71337242_71337348_+|71337903_71337974_+
106083at314145	Single	OW443361.1	173719889	173721122	+	588	104	0.7792	1.0	0	106083at314145_225400_0:004880	173719890_173719960_+|173720165_173720267_+|173720389_173720504_+|173720951_173721125_+
106085at314145	Single	OW443363.1	24069689	24080201	+	626	138	0.7785	0.9753086419753086	0	106085at314145_143302_0:0024aa	24069690_24069787_+|24071113_24071197_+|24076331_24076375_+|24078298_24078435_+|24080094_24080204_+
106092at314145	Single	OW443375.1	71390234	71394552	+	474	118	0.7154	0.8848920863309353	0	106092at314145_59538_0:004d45	71390235_71390351_+|71391235_71391345_+|71392896_71392974_+|71394491_71394552_+
106096at314145	Single	OW443377.1	23049968	23150535	-	714	142	0.809	1.0	0	106096at314145_9365_0:0015d4	23150320_23150535_-|23133591_23133772_-|23049969_23050104_-
106132at314145	Single	OW443373.1	72631392	72634210	+	626	118	0.8429	1.0	0	106132at314145_109478_0:003064	72631393_72631644_+|72634043_72634213_+
106156at314145	Single	OW443376.1	78738216	78750936	+	865	154	0.9825	0.9095744680851063	0	106156at314145_29073_0:002908	78738217_78738291_+|78747457_78747553_+|78749749_78749919_+|78750512_78750591_+|78750847_78750939_+
106158at314145	Single	OW443365.1	88424594	88434559	+	804	137	0.9322	1.0	0	106158at314145_109478_0:0023e8	88424595_88424714_+|88434149_88434562_+
106165at314145	Single	OW443371.1	54781583	54786480	-	657	162	0.7318	1.0	0	106165at314145_132908_0:0004cf	54786295_54786480_-|54785314_54785379_-|54785059_54785202_-|54784069_54784134_-|54781584_54781658_-
106185at314145	Single	OW443380.1	55700157	55701438	-	686	171	0.6471	0.9230769230769231	0	106185at314145_143302_0:003fe9	55701207_55701438_-|55700155_55700537_-
10619at314145	Single	OW443368.1	37677001	37715639	+	5516	919	0.9106	1.0	0	10619at314145_9913_0:004e58	37677002_37677109_+|37678836_37678946_+|37679120_37679184_+|37679651_37679843_+|37681189_37681322_+|37684848_37685060_+|37685369_37685440_+|37689318_37689406_+|37690431_37690609_+|37691371_37691529_+|37692125_37692311_+|37692641_37692770_+|37693024_37693111_+|37694143_37694292_+|37695503_37695580_+|37695887_37696467_+|37700774_37700894_+|37701097_37701252_+|37702028_37702147_+|37703358_37703471_+|37704879_37704985_+|37714041_37714311_+|37715582_37715642_+
106244at314145	Single	OW443365.1	107654487	107673241	+	619	87	0.9062	1.0	0	106244at314145_143302_0:0024d2	107654488_107654624_+|107667370_107667433_+|107672058_107672202_+|107673204_107673244_+
106268at314145	Single	OW443365.1	130614280	130621078	-	988	201	0.8815	0.9720930232558139	0	106268at314145_29073_0:0041e4	130620894_130621078_-|130619298_130619430_-|130617875_130618102_-|130614278_130614367_-
106269at314145	Single	OW443361.1	164990043	165007737	+	679	104	0.913	1.0	0	106269at314145_59463_0:0018a5	164990044_164990160_+|165000098_165000233_+|165001795_165001865_+|165007648_165007740_+
106285at314145	Single	OW443370.1	80706695	80708351	+	689	138	0.863	0.9419354838709677	0	106285at314145_419612_0:00483f	80706696_80706898_+|80708117_80708354_+
106288at314145	Single	OW443372.1	13258220	13263346	-	703	139	0.8274	1.0	0	106288at314145_9974_0:004e0a	13263240_13263346_-|13261026_13261148_-|13259985_13260089_-|13259083_13259208_-|13258218_13258263_-
106337at314145	Single	OW443360.1	197454831	197466051	-	737	127	0.9203	1.0	0	106337at314145_118797_0:00268a	197466012_197466051_-|197464672_197464816_-|197455659_197455765_-|197454829_197454953_-
106340at314145	Single	OW443371.1	39113118	39114814	-	583	136	0.7465	1.0	0	106340at314145_109478_0:00362c	39114682_39114814_-|39114200_39114358_-|39113657_39113732_-|39113116_39113176_-
106342at314145	Single	OW443370.1	65626733	65631475	+	757	150	0.9605	1.0	0	106342at314145_30521_0:0014b8	65626734_65626835_+|65630809_65630895_+|65630984_65631085_+|65631193_65631284_+|65631403_65631478_+
106370at314145	Single	OW443376.1	32046104	32046875	+	1288	218	0.8792	1.0	0	106370at314145_132908_0:0003ed	32046105_32046878_+
106373at314145	Single	OW443380.1	55172553	55175789	-	1252	206	0.8299	0.9875776397515528	0	106373at314145_419612_0:00017f	55175504_55175789_-|55174367_55174549_-|55173441_55173700_-|55172551_55172764_-
106394at314145	Single	OW443373.1	85655754	85656457	-	408	113	0.7132	0.8666666666666667	0	106394at314145_9615_0:001f09	85656110_85656457_-|85655755_85655793_-
106403at314145	Single	OW443360.1	197535934	197539074	+	754	108	0.9296	1.0	0	106403at314145_118797_0:00262f	197535935_197535974_+|197536719_197536857_+|197537066_197537172_+|197538935_197539077_+
106404at314145	Single	OW443378.1	10174311	10174740	+	544	125	0.719	1.0	0	106404at314145_109478_0:002cc8	10174312_10174743_+
106406at314145	Single	OW443362.1	75973126	75975161	-	512	119	0.7101	1.0	0	106406at314145_291302_0:000b0d	75975003_75975161_-|75974861_75974902_-|75974000_75974125_-|75973127_75973213_-
10641at314145	Single	OW443376.1	85923829	85953684	+	4851	821	0.8758	0.9815668202764977	1	10641at314145_29073_0:002862	85923830_85924049_+|85925557_85925694_+|85926786_85927111_+|85929945_85930124_+|85931170_85931205_+|85931667_85931792_+|85932341_85932538_+|85934415_85934591_+|85935502_85935553_+|85938095_85938294_+|85939296_85939348_+|85941603_85941735_+|85942308_85942509_+|85942923_85943049_+|85945307_85945547_+|85946192_85946288_+|85946660_85946755_+|85948254_85948389_+|85949167_85949346_+|85949648_85949772_+|85951185_85951300_+|85953592_85953684_+
106426at314145	Single	OW443361.1	61162506	61163417	+	376	90	0.8404	0.636986301369863	0	106426at314145_291302_0:003623	61162507_61162615_+|61163246_61163417_+
106428at314145	Single	OW443380.1	53293026	53293787	-	530	135	0.6424	1.0	0	106428at314145_109478_0:0032c1	53293631_53293787_-|53293408_53293554_-|53293186_53293320_-|53293024_53293082_-
106431at314145	Single	OW443364.1	71865611	71877448	-	541	127	0.7014	1.0	0	106431at314145_34882_0:0003d0	71877374_71877448_-|71875481_71875518_-|71869776_71869820_-|71868592_71868734_-|71865612_71865742_-
106438at314145	Single	OW443369.1	98815640	98899929	+	879	135	0.8548	1.0	0	106438at314145_9940_0:003dc4	98815641_98815694_+|98861224_98861282_+|98885796_98885873_+|98891015_98891204_+|98899753_98899932_+
106448at314145	Single	OW443379.1	6817638	6822307	-	894	159	0.9119	1.0	0	106448at314145_42254_0:00105a	6822088_6822307_-|6819802_6819998_-|6819107_6819179_-|6817636_6817712_-
10644at314145	Single	OW443363.1	151632245	151663186	+	5207	1118	0.7753	0.9909638554216867	0	10644at314145_9974_0:004527	151632246_151632378_+|151635863_151635934_+|151638274_151638401_+|151639713_151639818_+|151640556_151640702_+|151641315_151641495_+|151642310_151642386_+|151643179_151643374_+|151646596_151646735_+|151648392_151648430_+|151650060_151650194_+|151650357_151651886_+|151654453_151654633_+|151655744_151655894_+|151657141_151657263_+|151657944_151658094_+|151658964_151659160_+|151662932_151663189_+
106458at314145	Single	OW443363.1	68094240	68098245	+	591	157	0.5869	0.9444444444444444	0	106458at314145_186990_0:002e23	68094241_68094291_+|68095165_68095191_+|68096226_68096249_+|68096346_68096387_+|68097751_68098245_+
10645at314145	Single	OW443367.1	26664628	26901383	-	4890	864	0.8607	1.0	0	10645at314145_29073_0:002280	26901223_26901383_-|26817824_26817842_-|26786386_26786564_-|26783561_26783792_-|26778548_26778633_-|26741315_26741486_-|26739864_26739980_-|26716063_26716182_-|26713071_26713190_-|26709734_26709913_-|26708750_26708902_-|26690186_26690595_-|26686367_26686560_-|26682179_26682270_-|26679306_26679407_-|26677993_26678135_-|26671272_26671382_-|26669808_26670210_-|26666789_26666920_-|26664626_26664724_-
10647at314145	Single	OW443361.1	104385583	104571814	+	5063	936	0.8478	1.0	0	10647at314145_291302_0:0006f7	104385584_104385736_+|104391535_104391641_+|104397600_104397678_+|104398771_104398945_+|104399607_104399683_+|104400719_104400838_+|104401835_104401980_+|104402362_104402458_+|104408772_104408913_+|104409537_104409782_+|104412040_104412260_+|104414768_104414963_+|104441204_104441406_+|104483908_104484725_+|104487408_104487499_+|104491522_104491601_+|104496866_104497065_+|104528011_104528111_+|104566151_104566255_+|104571762_104571817_+
106489at314145	Single	OW443368.1	1416951	1421999	+	648	124	0.8299	0.8682634730538922	0	106489at314145_291302_0:0034c3	1416952_1417073_+|1417948_1418030_+|1418650_1418723_+|1421838_1422002_+
106502at314145	Single	OW443379.1	42772268	42775475	-	979	187	0.9898	1.0	0	106502at314145_225400_0:003c94	42775364_42775475_-|42773898_42774020_-|42773139_42773259_-|42772649_42772759_-|42772266_42772389_-
106511at314145	Single	OW443360.1	194183461	194191601	+	1331	254	0.9453	1.0	0	106511at314145_109478_0:0030ea	194183462_194183526_+|194184977_194185114_+|194188643_194188749_+|194190746_194190908_+|194191121_194191174_+|194191307_194191604_+
106522at314145	Single	OW443364.1	82843485	82849691	-	585	116	0.845	1.0	0	106522at314145_109478_0:001b48	82849512_82849691_-|82844761_82844907_-|82843483_82843545_-
106531at314145	Single	OW443360.1	192391796	192392524	-	675	111	0.9627	1.0	0	106531at314145_118797_0:002680	192392325_192392524_-|192392027_192392089_-|192391794_192391935_-
106536at314145	Duplicated	OW443368.1	3841499	3846385	+	605	108	0.9091	0.968	0	106536at314145_59538_0:002916	3841500_3841607_+|3842697_3842767_+|3845713_3845830_+|3846320_3846388_+
106536at314145	Duplicated	OW443360.1	117629030	117629405	-	575	108	0.864	1.0	0	106536at314145_59538_0:002916	117629028_117629405_-
106541at314145	Single	OW443360.1	6222851	6255147	+	412	92	0.7547	1.0	0	106541at314145_89399_0:001189	6222852_6222907_+|6226858_6226953_+|6240163_6240239_+|6255059_6255150_+
106566at314145	Single	OW443377.1	86226102	86246750	+	742	116	0.5586	1.0	0	106566at314145_29078_0:00415e	86226103_86226154_+|86226738_86226832_+|86227454_86227562_+|86227675_86227901_+|86246484_86246750_+
106581at314145	Single	OW443376.1	53199609	53201223	-	1150	175	0.9471	1.0	0	106581at314145_132908_0:003459	53201139_53201223_-|53200849_53201004_-|53199840_53200113_-|53199607_53199718_-
106625at314145	Single	OW443360.1	192608059	192610880	+	602	116	0.8326	0.9929078014184397	0	106625at314145_225400_0:00454f	192608060_192608242_+|192610191_192610368_+|192610770_192610883_+
106634at314145	Single	OW443379.1	4783640	4786465	-	705	113	0.9597	0.8324022346368715	0	106634at314145_186990_0:0017c0	4786417_4786465_-|4786129_4786257_-|4784878_4784963_-|4784177_4784280_-|4783638_4783719_-
106640at314145	Single	OW443368.1	87358613	87387781	+	652	105	0.9844	0.9552238805970149	0	106640at314145_310752_0:0012b6	87358614_87358743_+|87382484_87382613_+|87387658_87387784_+
106642at314145	Single	OW443362.1	6593891	6605764	+	827	120	0.9578	1.0	0	106642at314145_42254_0:0036a6	6593892_6593949_+|6595932_6596144_+|6604615_6604725_+|6605658_6605767_+
106643at314145	Single	OW443379.1	33389389	33391203	-	616	132	0.8125	1.0	0	106643at314145_29073_0:001dca	33391171_33391203_-|33390424_33390537_-|33389697_33389812_-|33389387_33389558_-
106651at314145	Single	OW443363.1	135926679	135933643	-	725	118	0.9521	1.0	0	106651at314145_118797_0:0016e6	135933497_135933643_-|135933353_135933388_-|135928727_135928882_-|135926787_135926864_-|135926677_135926700_-
106666at314145	Single	OW443377.1	24378783	24382576	-	615	101	0.9091	1.0	0	106666at314145_109478_0:003843	24382504_24382576_-|24380408_24380580_-|24380090_24380191_-|24378781_24378831_-
106672at314145	Single	OW443377.1	24413220	24417312	-	605	106	0.8864	1.0	0	106672at314145_109478_0:003847	24417240_24417312_-|24414394_24414566_-|24413733_24413834_-|24413218_24413268_-
106732at314145	Single	OW443372.1	68522539	68524476	+	599	117	0.9	1.0	0	106732at314145_109478_0:0006a6	68522540_68522639_+|68523798_68523982_+|68524402_68524479_+
106737at314145	Single	OW443369.1	60514454	60522124	+	667	116	0.9923	1.0	0	106737at314145_118797_0:000eab	60514455_60514577_+|60515620_60515716_+|60516189_60516233_+|60516710_60516733_+|60518180_60518233_+|60522078_60522127_+
10673at314145	Single	OW443360.1	126585313	127340842	+	4970	897	0.9235	0.9960899315738025	0	10673at314145_32536_0:000ed1	126585314_126585454_+|126658535_126658617_+|126739144_126739231_+|126758889_126759050_+|126774774_126774970_+|126781263_126781344_+|126789111_126789198_+|126887650_126887757_+|126889481_126889650_+|126904487_126904697_+|126926211_126926395_+|126959009_126959224_+|127007182_127007346_+|127059038_127059106_+|127068139_127068222_+|127119496_127119616_+|127120433_127120552_+|127193884_127194026_+|127226534_127226713_+|127319596_127319739_+|127337473_127337613_+|127340684_127340842_+
10674at314145	Single	OW443361.1	188082162	188127963	-	5363	999	0.8613	1.0	0	10674at314145_109478_0:0026f2	188127900_188127963_-|188113488_188113596_-|188112248_188112481_-|188109001_188109150_-|188102600_188103050_-|188101426_188101831_-|188099933_188100066_-|188097031_188097151_-|188092100_188092275_-|188089431_188089817_-|188087726_188088654_-|188086071_188086209_-|188082804_188082875_-|188082160_188082285_-
10675at314145	Single	OW443361.1	190560359	190606894	-	5581	927	0.9484	1.0	0	10675at314145_132908_0:002d2d	190606813_190606894_-|190605167_190606246_-|190577465_190577673_-|190575462_190575537_-|190571894_190572054_-|190568919_190569062_-|190566090_190566279_-|190565500_190565678_-|190563074_190563508_-|190560357_190561172_-
106761at314145	Single	OW443379.1	18499500	18505825	+	503	96	0.8991	0.872	0	106761at314145_30538_0:0035b5	18499501_18499608_+|18504286_18504390_+|18505712_18505825_+
106763at314145	Single	OW443360.1	203623655	203633816	+	841	136	0.5919	1.0	0	106763at314145_9407_0:001f0e	203623656_203623781_+|203624041_203624323_+|203633168_203633382_+|203633481_203633816_+
106765at314145	Duplicated	OW443365.1	42514227	42516338	-	649	113	0.7843	1.0	0	106765at314145_109478_0:002683	42516132_42516338_-|42514503_42514633_-|42514228_42514348_-
106765at314145	Duplicated	OW443364.1	57509052	57509511	-	645	113	0.7778	1.0	0	106765at314145_109478_0:002683	57509053_57509511_-
106768at314145	Single	OW443365.1	13212904	13232692	-	766	135	0.9161	0.96875	0	106768at314145_30538_0:003208	13232577_13232692_-|13227709_13227903_-|13212902_13213058_-
106778at314145	Single	OW443368.1	39083127	39110673	-	923	149	0.9674	1.0	0	106778at314145_132908_0:0037c2	39110611_39110673_-|39105661_39105744_-|39085696_39085756_-|39084080_39084189_-|39083125_39083355_-
106781at314145	Single	OW443369.1	17700225	17700738	-	572	151	0.655	0.9243243243243243	0	106781at314145_9365_0:002758	17700226_17700738_-
106786at314145	Single	OW443362.1	7688347	7689733	+	750	169	0.7778	1.0	0	106786at314145_143302_0:002fc1	7688348_7688644_+|7688825_7688986_+|7689518_7689627_+|7689709_7689736_+
106804at314145	Single	OW443371.1	99418740	99420497	-	545	100	0.839	0.959349593495935	0	106804at314145_109478_0:004ca3	99420385_99420497_-|99419213_99419324_-|99418741_99418869_-
106808at314145	Single	OW443366.1	119936924	119938223	+	605	90	0.8889	0.7777777777777778	0	106808at314145_9646_0:0044d4	119936925_119937087_+|119937459_119937583_+|119938134_119938226_+
106819at314145	Single	OW443381.1	5847498	5856531	+	663	91	1.0	1.0	0	106819at314145_118797_0:00079d	5847499_5847544_+|5851429_5851497_+|5852866_5852981_+|5856364_5856534_+
106857at314145	Single	OW443375.1	89109589	89118684	+	829	166	0.7198	1.0	0	106857at314145_30521_0:000e7a	89109590_89109711_+|89109948_89110063_+|89111356_89111513_+|89113022_89113183_+|89116039_89116158_+|89118619_89118687_+
106858at314145	Single	OW443377.1	22079979	22133721	-	991	134	0.8085	1.0	0	106858at314145_32536_0:003b6f	22133481_22133721_-|22124892_22125025_-|22085997_22086077_-|22084795_22084926_-|22079977_22080096_-
106864at314145	Single	OW443360.1	96522055	96523990	-	650	81	0.9846	1.0	0	106864at314145_29078_0:003282	96523819_96523990_-|96522271_96522426_-|96522053_96522117_-
106882at314145	Single	OW443378.1	71908400	71918748	+	575	107	0.9909	0.8396946564885496	0	106882at314145_43346_0:001190	71908401_71908515_+|71913560_71913646_+|71917727_71917804_+|71918699_71918751_+
106885at314145	Single	OW443360.1	55949605	55969296	+	585	89	0.8898	1.0	0	106885at314145_9365_0:0044b2	55949606_55949647_+|55963473_55963631_+|55969117_55969299_+
