contig	length	mean.cov	median.cov	gc	uniq.kmer	Ns	n.ratio
Utg635746	1249025	46.72942088	51	37.59	0.969572495	723551	0.579292648
Utg636012	1243864	57.40365034	58	41.95	0.988218979	655739	0.527179016
Utg635496	1222490	59.37329435	57	42.17	0.977489236	648574	0.530535219
Utg635374	1214449	26.12175962	26	38.76	0.967420054	795084	0.654687023
Utg635430	1202541	52.65160263	52	35.37	0.982797146	633667	0.526940038
Utg635180	1202460	62.04823151	53	38.31	0.975027985	637001	0.529748183
Utg635708	1177558	52.50196647	52	41.1	0.97924106	693093	0.588585021
Utg635298	1174120	45.43743703	47	34.12	0.981135718	660727	0.562742309
Utg635462	1150588	51.57668199	52	35.73	0.984791873	583925	0.507501382
Utg634992	1147562	24.60433198	25	36.4	0.964468336	776222	0.676409641
Utg634788	1117798	53.640993	53	37.78	0.97799159	607506	0.543484601
Utg634638	1117771	23.83347351	24	36.12	0.965942947	779805	0.697642898
Utg635042	1104195	23.81679225	24	36.31	0.962598141	764893	0.692715508
Utg635408	1100124	47.49302725	47	34.34	0.978107104	669598	0.608656842
Utg635460	1096832	27.87782319	28	41.65	0.971056313	742371	0.676832003
Utg634956	1080066	49.69581581	50	41.63	0.968981012	744675	0.689471755
Utg636026	1067423	26.26207971	26	38.15	0.980861683	651949	0.610769114
Utg634790	1065750	79.52999105	56	45.85	0.975481069	587157	0.550933146
Utg635506	1059979	53.91229617	53	46.96	0.992059519	458224	0.432295357
Utg636200	1059181	51.51735429	52	41.68	0.963959983	589979	0.557014335
Utg635706	1050688	54.07424174	54	39.52	0.98691026	549039	0.52255189
Utg635024	1047601	46.06935123	47	34.66	0.97045854	660279	0.630277176
Utg635688	1032792	55.70115988	53	37.59	0.980884958	529430	0.51262016
Utg635216	1030353	23.58163499	24	35.91	0.96388619	726716	0.705307793
Utg634600	1015685	56.91285612	57	43.53	0.988077865	459714	0.452614738
Utg634664	998876	27.43564593	27	39.55	0.954374622	587973	0.588634625
Utg634582	970520	49.80409573	50	34.47	0.982686797	445094	0.458613939
Utg635454	947767	45.41975941	49	40.08	0.957635451	507486	0.535454389
Utg635344	941760	51.85717853	52	37.08	0.970246425	557803	0.592298462
Utg635696	935583	49.40124256	50	37.27	0.964413078	512852	0.548163017
Utg634942	930869	49.67222512	50	34.93	0.969548746	571716	0.614174497
Utg636582	917464	58.10614819	50	34.38	0.980997784	485748	0.529446387
Utg635540	914307	47.86880616	48	36.19	0.960692211	597699	0.653718062
Utg636306	913339	80.39942075	55	45.93	0.986360227	499612	0.547017044
Utg635056	912101	27.69536424	28	40.28	0.979549633	543602	0.595988821
Utg635690	908518	54.12168611	54	39.33	0.983915637	467153	0.514192344
Utg635620	902963	46.23322851	28	38.36	0.967593774	548731	0.607700426
Utg636234	897359	64.71586616	59	50.51	0.966191401	402871	0.448951869
Utg635654	870628	53.57329989	53	39.47	0.981457201	497207	0.571090064
Utg635526	849888	53.55394304	54	42.57	0.974642652	496133	0.583762802
Utg635270	848837	49.85898138	49	35.81	0.980734666	544961	0.642009008
Utg635386	828671	25.39698046	25	37.15	0.968004646	586397	0.707635479
Utg636380	826320	53.3013226	53	42.64	0.98473744	400664	0.484877529
Utg635926	823584	49.34842804	50	35.48	0.98228487	518202	0.629203579
Utg635596	823349	58.88374783	59	43.03	0.981856129	441453	0.53616753
Utg635006	823188	25.30705882	25	36.98	0.963358291	539042	0.654822471
Utg635662	821893	28.84683358	29	39.97	0.980173083	453652	0.551959927
Utg635916	819391	56.15274189	57	42.32	0.982932072	465369	0.567944974
Utg635776	812439	52.25063008	53	37.79	0.982481101	417219	0.513538863
Utg634794	812422	52.42519917	52	36.13	0.981885727	486659	0.599022429
Utg636038	810746	24.02281918	23	37.87	0.952538273	609336	0.751574476
Utg635846	807261	103.1430709	51	41.01	0.945463543	393794	0.487814969
Utg635756	795702	49.32589689	50	41.17	0.979646751	408803	0.513763947
Utg634860	788499	57.34944126	57	46.84	0.990654351	442278	0.560911301
Utg635250	787188	47.20419003	47	34.91	0.967285441	475536	0.604094575
Utg635018	768491	27.39660591	27	40.98	0.970555027	480557	0.625325476
Utg635146	761988	24.36047604	25	35.9	0.969926203	415463	0.545235621
Utg635680	747000	57.09287257	57	44.09	0.98502622	376283	0.503725569
Utg635554	732488	27.96120973	27	39.27	0.955259605	454540	0.620542589
Utg636538	718508	49.35281837	50	37.07	0.98460212	420279	0.584932944
Utg635634	715027	26.66299417	26	36.7	0.960085257	455806	0.637466837
Utg635960	698260	22.38821549	22	35.33	0.966731783	480466	0.688090396
Utg635938	697844	51.18007799	56	39.98	0.983099353	377667	0.541191154
Utg636532	697062	47.5353394	47	35.71	0.979856167	395238	0.567005517
Utg635486	694508	54.19350519	55	46.22	0.986887762	408087	0.587591504
Utg635140	690074	51.4404804	48	39.13	0.927862654	507731	0.735763121
Utg636812	688956	51.19193277	51	38.78	0.97094609	452984	0.657493367
Utg634656	686680	52.38267275	52	36.61	0.984336221	355941	0.518350615
Utg635002	678434	27.08786168	27	40.5	0.963532007	439067	0.647177176
Utg635484	668234	53.95176056	54	39.3	0.985009148	360140	0.538942945
Utg635962	666091	51.76489249	52	38.76	0.985233637	371000	0.556980953
Utg635758	661616	50.83803068	51	41.25	0.981390377	343665	0.519432722
Utg635646	649098	52.88210607	54	44.23	0.965632719	341339	0.525866664
Utg636322	644580	53.73940757	55	47.91	0.98046338	369137	0.572678333
Utg636016	643180	47.00506879	48	35	0.972355527	388233	0.603614851
Utg636052	634393	29.37327189	29	46.99	0.979981617	350896	0.553120857
Utg635730	634040	24.2980664	24	36.87	0.968377804	382233	0.602853132
Utg635066	631265	25.90659134	25	37.46	0.960215715	464525	0.735863702
Utg635812	631139	54.97808012	54	42.16	0.985678798	354893	0.562305609
Utg635598	630700	24.87116332	24	39.17	0.962591773	454868	0.721211352
Utg635328	627400	53.35900298	53	37.42	0.991436362	316120	0.503857188
Utg635622	623866	100.6097953	57	44.16	0.487311783	316659	0.507575345
Utg635816	622975	12.98156493	8	44.07	0.408564776	309351	0.496570488
Utg635658	616821	53.83403603	48	35.68	0.973662496	332419	0.538922961
Utg634660	611979	58.35471554	58	43.41	0.97706798	332847	0.54388631
Utg636058	608747	41.6554587	23	44.26	0.452580968	299057	0.491266487
Utg636870	608358	49.23329471	52	39.39	0.966874641	357072	0.586943872
Utg635790	596625	25.55388867	26	37.32	0.976822399	401691	0.673272156
Utg635638	594496	56.17294118	56	38.91	0.987229246	360786	0.606877086
Utg634736	568261	98.18850765	52	43.52	0.953259068	307905	0.54183729
Utg635896	564358	25.4550308	25	36.86	0.982117573	322810	0.571995081
Utg635956	563386	51.76121262	52	35.8	0.981974889	336015	0.596420571
Utg635762	562973	54.65910999	55	43.13	0.973816427	274490	0.487572228
Utg635062	554702	50.35547886	51	37.75	0.972345808	325419	0.586655538
Utg635664	551182	26.04797209	25	38.92	0.94892642	410157	0.744140774
Utg635528	545096	25.03698869	24	37.97	0.963319636	423679	0.777255749
Utg635612	530765	47.79348796	49	36.8	0.960875269	331182	0.623971061
Utg635836	524357	37.6728245	20	44.15	0.332921677	262333	0.500294647
Utg635290	523392	55.26871842	55	39.79	0.988051521	299107	0.571477974
Utg635898	521949	50.02125735	51	37.59	0.979946069	335464	0.642714135
Utg635862	518863	27.3064663	18	44.13	0.200126892	257191	0.495681904
Utg636126	518703	55.23405211	56	43.06	0.979578713	295923	0.570505665
Utg635732	516651	28.55363985	28	55.29	0.990000376	221863	0.429425279
Utg635064	497342	52.7795432	57	47.77	0.975494411	269285	0.541448339
Utg635284	493967	41.63322884	9	44.99	0.750528432	240672	0.487222831
Utg635548	493880	46.69090909	48	37.25	0.92814859	319558	0.647035717
Utg635592	492652	60.74805825	61	47.92	0.989797186	251181	0.509854827
Utg635492	491987	59.06306306	58	40.77	0.977721673	305490	0.620931041
Utg636066	491203	54.68952197	55	49.88	0.995811131	251687	0.512388972
Utg636278	490201	12.06648199	4	44.05	0.648754387	241930	0.493532245
Utg636460	489863	5.666015625	3	44.12	0.761567934	243939	0.497973923
Utg635108	489394	47.76030317	48	33.94	0.969471341	296358	0.605561163
Utg634682	489130	57.97839654	57	52.63	0.991867907	238908	0.488434567
Utg635482	487308	54.86089866	57	42.69	0.977325622	255784	0.524891855
Utg635414	484855	5.656012177	3	44.22	0.507338184	241210	0.49748894
Utg635114	483920	27.68578431	27	39.16	0.982065264	283462	0.585762109
Utg635370	482783	48.32133933	49	34.79	0.985953297	296280	0.613691866
Utg635674	480319	49.29024016	51	36.3	0.990937616	237471	0.494402678
Utg635682	477796	29.26373626	30	53.56	0.990126078	219024	0.458404842
Utg635546	477640	22.64072165	23	35.89	0.957904731	325576	0.681634704
Utg636160	467909	31.66290481	18	44.22	0.329594272	229599	0.490691566
Utg635988	467455	53.55182073	9.5	47.62	0.515224335	221277	0.473365351
Utg634762	456883	24.2226762	24	38.08	0.947401479	323351	0.707732614
Utg635100	449729	24.19649495	24	38.34	0.944015326	345422	0.768066991
Utg636142	440619	49.81307902	51	39.35	0.963426124	285628	0.648242586
Utg635648	439594	26.43149171	27	41.14	0.95163138	292602	0.66561873
Utg637054	430785	16.19964349	8	44.13	0.328915092	216318	0.502148403
Utg635802	430690	14.09248555	6	44.2	0.290908257	209656	0.486790963
Utg635380	429524	49.63694608	50	34.84	0.989486789	204405	0.475887261
Utg636314	426855	7.903358465	4	44.2	0.525676901	213552	0.500291668
Utg635000	425253	51.45345517	51	35.96	0.98870468	240474	0.565484547
Utg634900	418743	15.35953979	7	47.88	0.680268317	185606	0.443245618
Utg634718	414162	56.25707814	52	46.3	0.970637431	243364	0.587605816
Utg637008	408290	37.51119895	26	45.96	0.341181627	194763	0.477021235
Utg635288	408187	67.85638921	53	38.9	0.959382741	237817	0.582617771
Utg634952	407742	13.73854827	6	44.44	0.336201509	203774	0.499762104
Utg636014	405536	54.01392252	55	39.73	0.983260068	262499	0.64728902
Utg637044	404177	46.13282172	17	44.01	0.672996568	197601	0.488897191
Utg634776	395729	44.4211793	44	34.74	0.971782075	252026	0.636865127
Utg634830	388159	19.78039794	4	44.34	0.422265586	190512	0.490809179
Utg636154	386741	20.96575342	10	44.11	0.335375586	190283	0.492016621
Utg635672	383640	22.82417582	23	36.86	0.957447232	293693	0.765543218
Utg635500	383379	857.1724138	60	45.46	0.938602364	190830	0.497758093
Utg636108	381542	57.44834184	27	44.97	0.346649177	177573	0.465408789
Utg636834	373519	22.33484574	5	44.13	0.245715476	192553	0.51551059
Utg636990	370342	82.25206044	41	44.17	0.514446061	189224	0.510943938
Utg636056	364935	13.20064725	11	44.14	0.367099347	177002	0.48502336
Utg635010	363292	26.14100906	26	39.92	0.951535193	268970	0.740368629
Utg635568	361246	50.29824561	50	35.79	0.98373781	205649	0.569276892
Utg634760	360057	28.19277108	26	38.97	0.959016565	268605	0.746006882
Utg635794	359636	48.21170865	47	37.27	0.990981155	204514	0.568669432
Utg637430	359146	21.86616335	17	44.02	0.546427616	179897	0.50090214
Utg635428	359145	48.79688558	49	41.03	0.984780396	202687	0.564359799
Utg636714	358516	6.872156863	5	44.18	0.348719091	179147	0.49969039
Utg635514	354298	55.42857143	55	40.9	0.929411475	195772	0.552563097
Utg636102	354084	94.64734637	67	45.44	0.729915854	156328	0.441499757
Utg635326	348705	50.84996651	53	40.3	0.984725429	181968	0.521839377
Utg635418	345505	51.13464141	52	42.48	0.988193137	220368	0.637814214
Utg635966	344785	29.4445174	29	43.1	0.987563273	220122	0.638432646
Utg635678	344589	18.01452785	14	44.28	0.412412512	167832	0.48704979
Utg635892	341730	27.72990127	21	44.15	0.49369354	178333	0.52185351
Utg635354	340834	95.64941022	86	37.36	0.9824107	208097	0.610552351
Utg636634	336761	12.81018519	9	44.23	0.370555631	174962	0.519543534
Utg636164	336019	111.8218884	92	48.23	0.961131182	151486	0.450825697
Utg635478	335917	23.8094566	23	36.52	0.956394892	228563	0.680415103
Utg636684	335027	24.20062208	17	45.03	0.641233531	157419	0.469869593
Utg635652	334463	67.08243728	69	36.11	0.986198343	241216	0.72120384
Utg634650	334248	36.64934057	26	41.08	0.905061887	244105	0.730311027
Utg636092	333273	120.6408715	78	44.28	0.390917918	161517	0.48463872
Utg637006	332204	63.42684766	29	44.08	0.283749533	160197	0.482224778
Utg638034	329725	79.28714524	24	44.82	0.321449792	161016	0.488334218
Utg637410	328853	30.82915718	19	44.21	0.347782636	166355	0.505864322
Utg635626	328159	38.1908622	30	39.73	0.939698591	223878	0.682224166
Utg635518	327328	48.42783124	50	36.42	0.985520894	170193	0.519946354
Utg636790	326079	20.14402985	14	44.14	0.31781909	164217	0.503611088
Utg634628	325171	5.025039124	2	44.25	0.744750543	164953	0.507280785
Utg636798	321331	92.66798732	20.5	44.19	0.341392868	165606	0.515375112
Utg635132	312786	23.53981623	25	40.27	0.946383371	223306	0.713925815
Utg635852	312271	274.406793	178	41.18	0.967559405	155909	0.499274668
Utg636214	312260	34.98245614	15	44.27	0.550006419	155162	0.496900019
Utg635718	306964	12.66722269	8	44.02	0.650996509	148006	0.482160775
Utg635870	305670	75.98542945	52	49.61	0.848363459	153102	0.500873491
Utg637866	305029	12.61431871	8	44.06	0.347602004	148880	0.488084739
Utg635768	302870	24.27258567	25	38.86	0.964285468	182211	0.601614554
Utg638804	301817	14.98264642	8	44.12	0.372858184	150792	0.499614005
Utg635092	300441	69.61365341	62	40.7	0.987920323	183949	0.612263306
Utg635854	299719	14.10731244	5	44.05	0.626552707	141491	0.472078847
Utg635464	299698	28.54843875	29	42.89	0.98302811	153369	0.511745157
Utg635452	297691	45.80929487	48	37.48	0.984090152	186863	0.627707925
Utg636406	296360	5.701639344	4	44.13	0.472590319	149076	0.50302335
Utg636266	293998	30.91418564	24	43.11	0.94464099	196269	0.667586174
Utg637496	292850	54.35725806	51	35.14	0.995162117	132787	0.453430084
Utg637120	291079	17.8886118	9	44.15	0.361260359	145812	0.500936172
Utg636264	289102	46.49585406	48	35.92	0.973474993	173549	0.600303699
Utg634726	285951	25.97100249	26	38.7	0.918711401	219832	0.76877507
Utg636244	283360	49.03408146	49	35.91	0.987252461	149671	0.528200875
Utg636206	282625	34.29837941	5	44.2	0.425417137	138268	0.489227775
Utg635628	279040	67.59090909	48	44.82	0.498027793	139736	0.500774083
Utg637402	274405	169.7067736	117	40.39	0.964796621	186283	0.678861537
Utg636572	274345	30.62387161	15	44.2	0.224065777	133856	0.487911207
Utg636952	273303	71.53546713	26	38.97	0.977718501	142721	0.522207952
Utg637282	272916	39.05998033	14	44.09	0.340725406	131306	0.481122397
Utg635214	272280	36.14362657	42	34.12	0.978128963	163132	0.599133245
Utg635770	272074	46.66872247	48	34.63	0.980990212	168159	0.618063468
Utg634880	271282	37.30910952	11	44.51	0.568802988	133376	0.491650755
Utg635366	261367	45.2653414	48	35.39	0.973140651	148517	0.568231644
Utg637364	258093	42.97303634	6	44.34	0.739050704	134722	0.521990135
Utg635090	258071	26.89084181	27	39.36	0.959711629	176614	0.684362055
Utg636598	255740	63.97164461	59	34.98	0.982713372	172462	0.674364589
Utg636560	255655	32.76526718	22	44.18	0.253741287	125496	0.490880288
Utg634592	255236	29.60149673	27	38.54	0.992185149	153740	0.602344497
Utg636336	254386	23.01396648	24	37.15	0.953070676	184674	0.725959762
Utg635774	252195	39.53429603	26	44.24	0.345033576	127397	0.505152759
Utg637444	249991	16.73176207	8	44.2	0.297988939	119226	0.476921169
Utg636196	248709	21.22717622	13	44.12	0.797512163	124522	0.500673478
Utg637558	247969	70.73560768	23	49.26	0.519710826	105805	0.4266864
Utg636118	247805	14.85747126	7	44.12	0.296723421	116585	0.470470733
Utg635882	245682	52.64264561	54	38.84	0.973055907	150949	0.614408056
Utg637274	244574	28.8574238	17	44.17	0.284549056	119947	0.490432344
Utg635578	243661	54.37512538	57	44.46	0.987519757	143773	0.590053394
Utg638148	243169	41.50050251	31	44.25	0.350147493	120668	0.496231016
Utg636484	242167	15.99803729	12	44.06	0.538843458	123670	0.510680646
Utg635240	241748	10.18540434	3	44.15	0.816621613	116846	0.483338021
Utg636612	241400	51.29434324	19	44.13	0.387773295	122217	0.506284176
Utg636144	240217	31.15291751	23	44.18	0.498324526	120121	0.500052036
Utg635644	239937	22.03225806	22	35.56	0.975003345	176136	0.734092699
Utg636022	239525	2.20668693	1	63.12	0.886017364	48264	0.2014988
Utg635254	238743	23.55350195	22	37.67	0.978469891	163082	0.683085996
Utg635226	238333	24.49076774	24	35.82	0.973663124	181617	0.762030436
Utg637192	237937	294.0852558	202	45.66	0.894253044	112234	0.471696289
Utg635330	237582	15.75714286	6	45.92	0.867464688	104192	0.438551742
Utg636988	234830	41.42586751	32	45.37	0.595854633	103358	0.440139676
Utg637366	233569	3.611940299	3	44.07	0.372646184	118638	0.507935557
Utg638298	232537	3.625	2	44.1	0.347351525	120941	0.520093577
Utg637182	232280	10.67608952	6	44.15	0.524242424	115976	0.499293956
Utg635850	232027	23.57215967	24	36.92	0.961250431	173718	0.74869735
Utg635998	231197	13.21902378	9	44.11	0.755536028	113359	0.490313456
Utg635008	231070	54.13474388	52	36.98	0.960316731	197687	0.855528628
Utg635964	230137	27.65563599	25	38.72	0.899379952	160400	0.696976149
Utg636082	226261	21.99146211	22	35.53	0.976198312	146396	0.647022686
Utg636642	224812	19.92916175	12	44.23	0.348977596	116165	0.516720638
Utg635994	223825	25.75338189	18	44.11	0.429654192	109387	0.488716631
Utg635876	223297	23.19174757	12	44.93	0.918240586	104975	0.470113795
Utg636442	223148	8.007062147	5	44.06	0.73429829	108866	0.487864556
Utg637336	223110	67.09071274	61	41.28	0.925987036	112854	0.50582224
Utg636300	222195	25.67640693	25	39.72	0.990207244	132359	0.595688472
Utg636184	221873	147.0153846	137	41.67	0.939815127	108191	0.487625804
Utg636346	221818	13.67225806	6	44.34	0.309750088	116361	0.524578709
Utg636310	221593	66.46162047	21	44.25	0.284742937	108595	0.490065119
Utg637074	220649	92.59576837	73	45.26	0.95202475	121976	0.552805587
Utg638202	219506	17.97682119	14	44.17	0.379027854	110942	0.505416708
Utg637036	217648	41.0863388	16	43.98	0.429204976	104941	0.482159266
Utg637582	217077	31.11820331	6	44.23	0.281035796	111412	0.513237238
Utg635372	216860	50.19042437	52	38.05	0.983911871	122588	0.56528636
Utg635346	216744	27.74082314	28	59.13	0.989723005	76034	0.350800945
Utg636404	216184	499.0726681	186	40.47	0.880789969	102752	0.47529882
Utg636448	214758	26.09259259	17	44.15	0.16886695	104846	0.488205329
Utg636600	214053	50.37587007	52	38.77	0.97190639	121220	0.566308344
Utg635826	213194	15.89042821	8	44.1	0.202807054	105809	0.496303836
Utg636540	212178	52.78318584	48	36.88	0.981751702	113735	0.536035781
Utg635670	210892	53.63995609	32	44.14	0.35327324	101585	0.481692051
Utg635296	210389	70.609447	53	38.28	0.994591562	109412	0.5200462
Utg635908	208720	31.22289157	15.5	44.21	0.396457153	103353	0.495175355
Utg637346	208625	21.2436751	7	44.14	0.228050922	107112	0.513418814
Utg636372	208055	54.58257919	49	34.26	0.994052264	103436	0.497157002
Utg636678	206615	17.29530201	10	44.25	0.263250786	102057	0.49394768
Utg637484	206476	20.34777651	14	44.11	0.243597951	100487	0.486676418
Utg636750	206291	38.97125	19	47.83	0.527040533	85902	0.416411768
Utg635608	204188	23.14639906	18	44.92	0.400986829	98494	0.482369189
Utg635918	204041	17.66235632	11	44.28	0.767465407	101617	0.498022456
Utg637804	204017	69.83411215	64	46.73	0.947693461	96255	0.471798919
Utg636202	201128	24.60849057	25	39.24	0.971171937	147947	0.735586293
Utg636960	201070	46.86414566	7	45.7	0.309628009	94510	0.470035311
Utg637116	200281	141.1040312	40	44.19	0.698289884	111911	0.558769928
Utg635194	200250	26.117713	26	37.93	0.983694625	115177	0.575166042
Utg637636	199471	19.91309824	12	44.24	0.482299569	97689	0.489740363
Utg636470	199169	25.72009292	27	40.41	0.988403816	106320	0.533818014
Utg636194	198634	5.361182519	2.5	44.14	0.255012882	98192	0.494336317
Utg636350	198189	11.8350365	4	44.07	0.502312561	97485	0.491878964
Utg637500	196288	20.32207479	21	37.71	0.949861129	139857	0.71250917
Utg637986	196110	10.23310345	5	44	0.634247191	92523	0.471791342
Utg636802	195774	13.37598945	4	44.23	0.432366113	99264	0.50703362
Utg636732	195159	86.39774859	14	53.66	0.748266818	67485	0.345794967
Utg637494	194932	43.88929889	40	44.08	0.657970523	97749	0.501451788
Utg637846	194414	21.9795082	18	44.19	0.559945238	104180	0.535866759
Utg637320	192881	12.68324607	5	44.14	0.206789234	95019	0.492630171
Utg637348	191986	10.1953867	8	49.38	0.535964536	82679	0.430651193
Utg635742	191971	16.50759878	10	44.14	0.244574468	98050	0.510754229
Utg636500	191957	22.63106796	23	38.81	0.966367689	137407	0.715821773
Utg637328	191408	48.78393352	20	44.12	0.224110778	96105	0.502095001
Utg637334	191066	16.65165165	11	44.07	0.730488067	95672	0.500727497
Utg637554	191040	85.87334138	60	42.63	0.924076049	103445	0.541483459
Utg637150	190533	24.88602442	21	44.12	0.448499554	95237	0.499845171
Utg636486	190329	53.42046856	53	41.97	0.979620719	89568	0.470595653
Utg635752	190077	48.79012346	47	35.01	0.975246499	113062	0.594822098
Utg636430	190004	18.47058824	16	44.07	0.777368758	95276	0.501442075
Utg636008	189969	6.830218069	4	44.06	0.328745368	95985	0.505266649
Utg635318	189968	24.83515152	25	38.91	0.953322209	127839	0.672950181
Utg636512	189445	12.85217391	5	44.2	0.550205275	96916	0.511578558
Utg635798	188506	17.72527473	15.5	44.22	0.138052635	91959	0.487830626
Utg636906	187599	16.04129032	14	44.09	0.56352547	91221	0.486255257
Utg636984	185739	52.21914008	46	44.17	0.242128975	88981	0.479064709
Utg637314	185475	12.26234133	10	44.11	0.781628513	90426	0.487537404
Utg637180	185132	26.16431095	6	44.21	0.277441875	94131	0.508453428
Utg636730	184943	9.731012658	7	44.09	0.313929314	91575	0.495152561
Utg637566	183940	29.00930851	17	44.18	0.235879702	94068	0.511405893
Utg636324	183529	118.3363363	24	41.63	0.851745789	94943	0.517318789
Utg636112	181681	18.03508772	12	46.48	0.212220535	81834	0.450426847
Utg635778	181396	49.11649215	52	39.31	0.973306403	113457	0.625465832
Utg636694	181214	27.4229765	29	39.49	0.981802235	110600	0.61032812
Utg637528	180898	36.63164894	32.5	44.02	0.44659229	86752	0.479563069
Utg636048	179796	20.50449294	21	36.93	0.944522874	127450	0.708858929
Utg635324	179214	23.89793282	22	38.79	0.959167863	120865	0.674417177
Utg637830	178151	178.9819355	184	40.74	0.996618169	92051	0.516702123
Utg637234	177771	60.49932157	43	44.87	0.663278183	91807	0.516434064
Utg637264	177517	17.51666667	14	44.09	0.772074641	87272	0.491626154
Utg637832	175878	18.20995334	9	44.09	0.42532691	86180	0.489998749
Utg636682	175628	35.07786885	34	44.05	0.99572334	104288	0.593800533
Utg638372	175273	54.95780591	17	44.22	0.267715675	90540	0.516565586
Utg638458	175176	31.02159244	15	44.65	0.286024578	94329	0.538481299
Utg636928	173923	201.1620029	59	42.67	0.826983511	99493	0.572052
Utg637422	173198	21.56202144	9	44.17	0.238614536	85445	0.493337106
Utg636976	173094	34.93639053	28	44.22	0.795793951	81391	0.470212717
Utg636240	170326	24.2917232	14	44.01	0.469505178	84763	0.497651562
Utg636672	170196	9.637770898	5	44.08	0.39028682	85047	0.499700345
Utg636758	170164	110.8869048	76	41.6	0.942505715	101052	0.593850638
Utg637326	169696	37.40819209	6	43.89	0.753740915	88038	0.518798322
Utg635604	169614	47.53125	50	40.89	0.96352832	106189	0.626062707
Utg635538	169065	45.71870605	46	38.83	0.969444548	102868	0.60845237
Utg637828	168825	31.4254062	21	44.36	0.402717642	88027	0.521409744
Utg635378	168717	27.89280677	28	38.69	0.990367823	119422	0.707824345
Utg636328	168046	47.47922438	52	35.59	0.991519094	108068	0.643085822
Utg637022	164156	25.31384615	17	44.02	0.765451754	80142	0.48820634
Utg636028	163880	43.04927536	45	40.68	0.978956621	84048	0.512863071
Utg638590	163734	14.45365169	7	44.17	0.355151515	81334	0.49674472
Utg635728	162796	25.29258242	26	38.21	0.966958676	131757	0.809338067
Utg637286	162679	14.87140115	8	44	0.495627842	79622	0.489442399
Utg636942	162408	37.25867052	29	40.42	0.96005667	107129	0.659628836
Utg636020	161245	60.7518797	54	38.61	0.979266622	105272	0.652869856
Utg635566	161182	11.15142857	10	44.11	0.246726396	80208	0.497623804
Utg636106	160895	19.23044097	19	38.95	0.970095935	121117	0.75277044
Utg635472	159251	5.127192982	4	44.17	0.884295961	75000	0.470954656
Utg636068	159162	45.19554849	48	37.02	0.979684831	99044	0.622284214
Utg636490	158837	24.29411765	24	38.97	0.988674451	91127	0.573713933
Utg637622	158445	14.75598802	10	44.17	0.816853592	78665	0.496481429
Utg637404	158424	20.54002911	22	37.16	0.959429384	123251	0.777981871
Utg636932	157762	48.52289513	52	37.63	0.985634658	86799	0.550189526
Utg638104	157716	82.33687405	46	44.18	0.407163459	75213	0.476888838
Utg635402	157464	27.15933232	27	37.85	0.960048718	118772	0.754280343
Utg637936	156796	11.0997921	5	44.11	0.44754042	77412	0.493711574
Utg638220	156264	31.5945122	29	38.78	0.976235804	105910	0.677763272
Utg636686	156109	51.17829457	51	38.99	0.976762921	113424	0.726569256
Utg636580	154880	24.034375	25	36.6	0.977970623	113638	0.733716426
Utg638200	154867	24.2	19	51.49	0.805991041	64084	0.413800229
Utg638356	154626	65.9023569	52	46.03	0.905883774	72313	0.467663912
Utg635276	153877	12.03282828	11	44.19	0.303067112	75613	0.491385977
Utg637446	153567	23.68301226	14	44.13	0.352698764	77525	0.504828511
Utg637330	152189	67.5661882	20	53.78	0.746818124	30592	0.201013214
Utg636192	151607	4.385650224	3	44.04	0.283351312	75992	0.501243346
Utg637508	151208	38.68837209	13	44.07	0.729034663	71522	0.473004074
Utg636458	151031	24.1102107	25	38.3	0.957277177	125045	0.827942608
Utg637350	150783	13.86666667	9	45.1	0.309024658	71085	0.471439088
Utg636692	150283	6.539215686	6	44.02	0.756970185	76822	0.511182236
Utg636704	150010	40.0543131	44	35.94	0.97726681	101742	0.678234784
Utg636958	149761	7.603448276	4	44.08	0.456551964	77827	0.519674682
Utg638206	149713	9.799591002	5	44.27	0.347230399	76641	0.511919473
Utg636720	149407	22.61049285	23	36.07	0.948347777	109493	0.732850536
Utg635432	149094	29.56586826	29	48.33	0.994171654	64062	0.429675238
Utg635936	148021	20.54308617	6	44.11	0.416155788	73979	0.499787192
Utg638046	146887	8.14507772	7	44.22	0.75006475	75606	0.514722201
Utg637012	146560	17.91433278	7	43.96	0.797055171	77952	0.531877729
Utg638178	145375	31.52250804	23	44.6	0.468317677	73354	0.504584695
Utg637520	145287	10.1416122	10	44.16	0.831529508	74019	0.509467468
Utg636250	143759	20.38257576	20	46.15	0.359291766	69445	0.483065408
Utg637118	143346	58.90172414	53	45.61	0.992079613	59332	0.413907608
Utg637664	143039	222.1995754	57	51.39	0.729908387	57271	0.400387307
Utg638232	141787	6.910179641	3	44.16	0.401281171	68098	0.480283806
Utg637258	141780	8.272727273	5	44.07	0.819714585	72194	0.509197348
Utg636822	141766	75.00170068	32	44.21	0.184867532	71346	0.503265945
Utg636476	140075	23.33629893	24	39.14	0.990436125	94774	0.676594681
Utg636180	140038	24.6010101	24	39.05	0.976662296	111684	0.797526386
Utg636646	139329	18.94240838	7	44.12	0.39732585	65176	0.467784883
Utg635126	138294	17.18206522	5	44.5	0.770545239	68113	0.492523175
Utg637684	138081	8.504708098	2	44.31	0.593490083	69340	0.502169017
Utg635420	137600	24.13095238	24	39.93	0.975299037	104949	0.762710756
Utg637066	137229	6.76056338	5	44.06	0.448636533	67364	0.490887495
Utg636362	136586	93.05719237	29	44.01	0.741374614	64941	0.475458685
