contig	length	mean.cov	median.cov	gc	uniq.kmer
Utg634952	407742	259.7556415	113	44.44	0.336201509
Utg636014	405536	54.15614035	55	39.73	0.983260068
Utg637044	404177	313.5269878	259	44.01	0.672996568
Utg634776	395729	44.4166165	44	34.74	0.971782075
Utg634830	388159	148.7465839	127	44.34	0.422265586
Utg636154	386741	379.3988799	268	44.11	0.335375586
Utg635672	383640	22.78549665	23	36.86	0.957447232
Utg635500	383379	1092.677116	57	45.46	0.938602364
Utg636108	381542	332.7740586	204	44.97	0.346649177
Utg636834	373519	126.3452769	107	44.13	0.245715476
Utg636990	370342	328.7090793	295	44.17	0.514446061
Utg636056	364935	99.1959322	76	44.14	0.367099347
Utg635010	363292	26.14312618	26	39.92	0.951535193
Utg635568	361246	50.21272494	50	35.79	0.98373781
Utg634760	360057	28.93561104	27	38.97	0.959016565
Utg635794	359636	47.85051546	47	37.27	0.990981155
Utg637430	359146	189.1606557	173	44.02	0.546427616
Utg635428	359145	48.7464503	50	41.03	0.984780396
Utg636714	358516	250.4602164	221	44.18	0.348719091
Utg635514	354298	56.34703196	55	40.9	0.929411475
Utg636102	354084	267.1818796	270	45.44	0.729915854
Utg635326	348705	51.91684285	53	40.3	0.984725429
Utg635418	345505	51.70164168	52	42.48	0.988193137
Utg635966	344785	29.55795536	29	43.1	0.987563273
Utg635678	344589	130.7824176	120	44.28	0.412412512
Utg635892	341730	287.2932227	193	44.15	0.49369354
Utg635354	340834	98.69883641	89	37.36	0.9824107
Utg636634	336761	187.1150307	142	44.23	0.370555631
Utg636164	336019	2729.477115	149	48.23	0.961131182
Utg635478	335917	23.83097595	23	36.52	0.956394892
Utg636684	335027	196.688905	175	45.03	0.641233531
Utg635652	334463	68.45661765	71	36.11	0.986198343
Utg634650	334248	48.12117086	27	41.08	0.905061887
Utg636092	333273	548.2188427	517	44.28	0.390917918
Utg637006	332204	480.8171346	382	44.08	0.283749533
Utg638034	329725	543.867182	195	44.82	0.321449792
Utg637410	328853	415.3191648	229	44.21	0.347782636
Utg635626	328159	38.69523151	30	39.73	0.939698591
Utg635518	327328	48.94514455	50	36.42	0.985520894
Utg636790	326079	204.7548807	162	44.14	0.31781909
Utg634628	325171	101.9921875	61	44.25	0.744750543
Utg636798	321331	1366.475983	240	44.19	0.341392868
Utg635132	312786	24.48934491	25	40.27	0.946383371
Utg635852	312271	376.2884468	212	41.18	0.967559405
Utg636214	312260	162.6323185	147	44.27	0.550006419
Utg635718	306964	132.0070755	119	44.02	0.650996509
Utg635870	305670	79.19904077	53	49.61	0.848363459
Utg637866	305029	215.2087912	209	44.06	0.347602004
Utg635768	302870	24.45249597	25	38.86	0.964285468
Utg638804	301817	384.8406725	138	44.12	0.372858184
Utg635092	300441	70.32991318	62	40.7	0.987920323
Utg635854	299719	338.8423529	254	44.05	0.626552707
Utg635464	299698	28.82841615	29	42.89	0.98302811
Utg635452	297691	46.46073718	49	37.48	0.984090152
Utg636406	296360	170.2107926	146	44.13	0.472590319
Utg636266	293998	33.03742038	25	43.11	0.94464099
Utg637496	292850	55.96059113	52	35.14	0.995162117
Utg637120	291079	326.021978	267	44.15	0.361260359
Utg636264	289102	48.25117005	48	35.92	0.973474993
Utg634726	285951	26.0806846	27	38.7	0.918711401
Utg636244	283360	49.28782609	49	35.91	0.987252461
Utg636206	282625	173.1187447	125	44.2	0.425417137
Utg635628	279040	362.0327586	343	44.82	0.498027793
Utg637402	274405	205.9497758	119	40.39	0.964796621
Utg636572	274345	255.7441652	236	44.2	0.224065777
Utg636952	273303	74.18734388	27	38.97	0.977718501
Utg637282	272916	200.2081448	155	44.09	0.340725406
Utg635214	272280	37.88780053	43	34.12	0.978128963
Utg635770	272074	47.13107241	48	34.63	0.980990212
Utg634880	271282	207.0710526	159	44.51	0.568802988
Utg635366	261367	45.75622776	47	35.39	0.973140651
Utg637364	258093	112.636612	81.5	44.34	0.739050704
Utg635090	258071	26.6996337	26	39.36	0.959711629
Utg636598	255740	65.91152074	61	34.98	0.982713372
Utg636560	255655	285.6859903	291	44.18	0.253741287
Utg634592	255236	29.41516588	26	38.54	0.992185149
Utg636336	254386	23.0427907	24	37.15	0.953070676
Utg635774	252195	187.1941176	156	44.24	0.345033576
Utg637444	249991	92.83317073	93	44.2	0.297988939
Utg636196	248709	123.0476644	124	44.12	0.797512163
Utg637558	247969	1173.618349	242	49.26	0.519710826
Utg636118	247805	167.0614679	122	44.12	0.296723421
Utg635882	245682	53.96285435	55	38.84	0.973055907
Utg637274	244574	212.6883385	209	44.17	0.284549056
Utg635578	243661	55.10636183	57	44.46	0.987519757
Utg638148	243169	244.6712871	205	44.25	0.350147493
Utg636484	242167	88.95546951	81	44.06	0.538843458
Utg635240	241748	117.8129103	68	44.15	0.816621613
Utg636612	241400	256.5174897	191	44.13	0.387773295
Utg636144	240217	217.0227704	197.5	44.18	0.498324526
Utg635644	239937	21.79828735	22	35.56	0.975003345
Utg636022	239525	297.2972973	129	63.12	0.886017364
Utg635254	238743	23.85643071	23	37.67	0.978469891
Utg635226	238333	24.80788177	24	35.82	0.973663124
Utg637192	237937	293.8990918	220	45.66	0.894253044
Utg635330	237582	294.6612091	77	45.92	0.867464688
Utg636988	234830	201.810582	182	45.37	0.595854633
Utg637366	233569	106.9275794	77	44.07	0.372646184
Utg638298	232537	121.4008439	93	44.1	0.347351525
Utg637182	232280	217.8644241	162	44.15	0.524242424
Utg635850	232027	23.59008097	24	36.92	0.961250431
Utg635998	231197	109.3899896	92	44.11	0.755536028
Utg635008	231070	53.41938883	51	36.98	0.960316731
Utg635964	230137	30.41017316	26	38.72	0.899379952
Utg636082	226261	22.10718114	23	35.53	0.976198312
Utg636642	224812	126.895966	105	44.23	0.348977596
Utg635994	223825	198.0941423	187.5	44.11	0.429654192
Utg635876	223297	131.9802289	90	44.93	0.918240586
Utg636442	223148	138.8079162	113	44.06	0.73429829
Utg637336	223110	68.30116649	61	41.28	0.925987036
Utg636300	222195	26.2771855	26	39.72	0.990207244
Utg636184	221873	182.886873	142	41.67	0.939815127
Utg636346	221818	500.7251037	127	44.34	0.309750088
Utg636310	221593	236.7382979	136.5	44.25	0.284742937
Utg637074	220649	99.86051502	76.5	45.26	0.95202475
Utg638202	219506	261.0716612	248	44.17	0.379027854
Utg637036	217648	350.7779043	342	43.98	0.429204976
Utg637582	217077	278.956427	186.5	44.23	0.281035796
Utg635372	216860	49.62527473	51	38.05	0.983911871
Utg635346	216744	28.52043011	28	59.13	0.989723005
Utg636404	216184	1578.760674	238.5	40.47	0.880789969
Utg636448	214758	266.4832757	261	44.15	0.16886695
Utg636600	214053	50.70635838	52	38.77	0.97190639
Utg635826	213194	167.3673938	150	44.1	0.202807054
Utg636540	212178	55.16573971	49	36.88	0.981751702
Utg635670	210892	260.2997788	248.5	44.14	0.35327324
Utg635296	210389	70.55156951	52	38.28	0.994591562
Utg635908	208720	196.0789793	158	44.21	0.396457153
Utg637346	208625	178.4907834	130.5	44.14	0.228050922
Utg636372	208055	56.36757991	48	34.26	0.994052264
Utg636678	206615	211.9126794	195	44.25	0.263250786
Utg637484	206476	204.6496599	194	44.11	0.243597951
Utg636750	206291	221.8020833	122	47.83	0.527040533
Utg635608	204188	231.213859	206	44.92	0.400986829
Utg635918	204041	212.0762911	150	44.28	0.767465407
Utg637804	204017	151.6329255	84	46.73	0.947693461
Utg636202	201128	25.51466993	25	39.24	0.971171937
Utg636960	201070	964.0816568	179	45.7	0.309628009
Utg637116	200281	179.5370986	104	44.19	0.698289884
Utg635194	200250	25.36829837	26	37.93	0.983694625
Utg637636	199471	139.8343789	130	44.24	0.482299569
Utg636470	199169	26.00252845	27	40.41	0.988403816
Utg636194	198634	134.614098	99	44.14	0.255012882
Utg636350	198189	148.2606452	121	44.07	0.502312561
Utg637500	196288	55.43329098	27	37.71	0.949861129
Utg637986	196110	176.6408364	160	44	0.634247191
Utg636802	195774	205.4361446	144.5	44.23	0.432366113
Utg636732	195159	214.6978155	116.5	53.66	0.748266818
Utg637494	194932	202.5675676	206	44.08	0.657970523
Utg637846	194414	127.9420804	98	44.19	0.559945238
Utg637320	192881	91.3177458	82.5	44.14	0.206789234
Utg637348	191986	556.0532468	230.5	49.38	0.535964536
Utg635742	191971	81.01509434	73	44.14	0.244574468
Utg636500	191957	22.83113772	22	38.81	0.966367689
Utg637328	191408	247.9907895	176	44.12	0.224110778
Utg637334	191066	112.0901857	125.5	44.07	0.730488067
Utg637554	191040	86.68985849	59	42.63	0.924076049
Utg637150	190533	215.2669127	236	44.12	0.448499554
Utg636486	190329	56.04980341	54	41.97	0.979620719
Utg635752	190077	48.40126582	47	35.01	0.975246499
Utg636430	190004	137.4974874	139	44.07	0.777368758
Utg636008	189969	160.5096852	149	44.06	0.328745368
Utg635318	189968	24.94895592	25	38.91	0.953322209
Utg636512	189445	198.2546917	128	44.2	0.550205275
Utg635798	188506	114.7453333	98.5	44.22	0.138052635
Utg636906	187599	90.223733	93	44.09	0.56352547
Utg636984	185739	227.6186541	201	44.17	0.242128975
Utg637314	185475	191.4966443	151	44.11	0.781628513
Utg637180	185132	296.0984204	272	44.21	0.277441875
Utg636730	184943	241.6899225	198	44.09	0.313929314
Utg637566	183940	190.5275591	156	44.18	0.235879702
Utg636324	183529	146.0712329	54.5	41.63	0.851745789
Utg636112	181681	225.0055556	168.5	46.48	0.212220535
Utg635778	181396	49.9393531	52	39.31	0.973306403
Utg636694	181214	27.9303548	29	39.49	0.981802235
Utg637528	180898	274.4687882	217	44.02	0.44659229
Utg636048	179796	21.42817294	21	36.93	0.944522874
Utg635324	179214	23.71972789	23	38.79	0.959167863
Utg637830	178151	207.9320905	209	40.74	0.996618169
Utg637234	177771	193.3869132	171	44.87	0.663278183
Utg637264	177517	111.8049113	99	44.09	0.772074641
Utg637832	175878	246.2813793	254	44.09	0.42532691
Utg636682	175628	34.51464435	34	44.05	0.99572334
Utg638372	175273	283.2683246	231.5	44.22	0.267715675
Utg638458	175176	506.9589552	428	44.65	0.286024578
Utg636928	173923	291.1964736	119	42.67	0.826983511
Utg637422	173198	157.1635135	147	44.17	0.238614536
Utg636976	173094	176.2483745	160	44.22	0.795793951
Utg636240	170326	358.3705234	204	44.01	0.469505178
Utg636672	170196	90.14516129	60	44.08	0.39028682
Utg636758	170164	130.9402985	79	41.6	0.942505715
Utg637326	169696	274.5710345	265	43.89	0.753740915
Utg635604	169614	48.26638773	51	40.89	0.96352832
Utg635538	169065	49.67728532	49	38.83	0.969444548
Utg637828	168825	223.5194986	139	44.36	0.402717642
Utg635378	168717	28.16426513	28	38.69	0.990367823
Utg636328	168046	49.37047757	52	35.59	0.991519094
Utg637022	164156	194.9719626	191	44.02	0.765451754
Utg636028	163880	43.82191781	46	40.68	0.978956621
Utg638590	163734	227.3619456	231	44.17	0.355151515
Utg635728	162796	25.86865672	26	38.21	0.966958676
Utg637286	162679	139.6165414	88	44	0.495627842
Utg636942	162408	39.8035982	40	40.42	0.96005667
Utg636020	161245	66.4556962	57	38.61	0.979266622
Utg635566	161182	123.6540698	93	44.11	0.246726396
Utg636106	160895	19.6251944	20	38.95	0.970095935
Utg635472	159251	142.5955766	97	44.17	0.884295961
Utg636068	159162	47.16468843	48	37.02	0.979684831
Utg636490	158837	24.26386807	25	38.97	0.988674451
Utg637622	158445	199.2101227	178	44.17	0.816853592
Utg637404	158424	21.27827381	22	37.16	0.959429384
Utg636932	157762	48.42706767	51	37.63	0.985634658
Utg638104	157716	281.677761	212	44.18	0.407163459
Utg635402	157464	27.43620178	27	37.85	0.960048718
Utg637936	156796	161.8734568	139	44.11	0.44754042
Utg638220	156264	32.14528594	30	38.78	0.976235804
Utg636686	156109	51.33792049	51	38.99	0.976762921
Utg636580	154880	24.49920761	25	36.6	0.977970623
Utg638200	154867	85.72222222	56.5	51.49	0.805991041
Utg638356	154626	125.8435583	105	46.03	0.905883774
Utg635276	153877	85.42	77.5	44.19	0.303067112
Utg637446	153567	98.25443787	91	44.13	0.352698764
Utg637330	152189	386.8742038	152.5	53.78	0.746818124
Utg636192	151607	175.8223881	146.5	44.04	0.283351312
Utg637508	151208	514.5816165	464	44.07	0.729034663
Utg636458	151031	24.1107739	25	38.3	0.957277177
Utg637350	150783	217.7245614	198	45.1	0.309024658
Utg636692	150283	78.84060403	45	44.02	0.756970185
Utg636704	150010	43.98184569	47	35.94	0.97726681
Utg636958	149761	100.5368249	94	44.08	0.456551964
Utg638206	149713	144.8748044	137	44.27	0.347230399
Utg636720	149407	22.59345794	23	36.07	0.948347777
Utg635432	149094	29.81619938	30	48.33	0.994171654
Utg635936	148021	205.3046875	143	44.11	0.416155788
Utg638046	146887	191.8588435	185.5	44.22	0.75006475
Utg637012	146560	165.9641694	155	43.96	0.797055171
Utg638178	145375	335.4924623	326	44.6	0.468317677
Utg637520	145287	139.5926544	79	44.16	0.831529508
Utg636250	143759	117.0575139	116	46.15	0.359291766
Utg637118	143346	59.19715808	55	45.61	0.992079613
Utg637664	143039	1163.315884	112.5	51.39	0.729908387
Utg638232	141787	141.5721311	120.5	44.16	0.401281171
Utg637258	141780	71.61769912	71	44.07	0.819714585
Utg636822	141766	306.4172535	317.5	44.21	0.184867532
Utg636476	140075	25.98135593	26	39.14	0.990436125
Utg636180	140038	25.61717352	25	39.05	0.976662296
Utg636646	139329	229.2927242	199	44.12	0.39732585
Utg635126	138294	71.61790393	63.5	44.5	0.770545239
Utg637684	138081	205.5341959	197	44.31	0.593490083
Utg635420	137600	24.63869863	25	39.93	0.975299037
Utg637066	137229	145.6134868	112	44.06	0.448636533
Utg636362	136586	313.0276243	292	44.01	0.741374614
Utg636420	136022	141.2394881	131	44.13	0.776275652
Utg634618	135395	41.95405405	22	44.14	0.856502242
Utg637584	134651	185.5741088	163	44.07	0.774004611
Utg635564	133867	276.9177102	191	44.25	0.198689011
Utg636542	133341	210.25878	197	44.13	0.416042099
Utg637752	133240	1783.083179	338	50.9	0.616980137
Utg636276	132568	92.29453263	55	40.86	0.992666956
Utg635282	131542	65.98565574	57	44.29	0.757219251
Utg638124	131155	188.6117021	198	44.14	0.793083607
Utg636246	130669	91.27827648	71	44.04	0.162327095
Utg637728	129680	290.3426443	228	44.61	0.592707176
Utg636494	129351	141.2094456	124	46.84	0.385041551
Utg635502	127937	25.98301887	26	37.01	0.95781572
Utg637226	127468	180.8956835	174	44.33	0.354483353
Utg637900	126921	972.9330922	354	44.26	0.764632052
Utg637144	126655	159.8927875	137	44.14	0.125341973
Utg638286	125951	202.9075145	163	44.32	0.206951552
Utg637238	123837	93.27889908	93	44.05	0.623230844
Utg636722	123723	105.6628352	93	44.08	0.454261752
Utg636796	122985	380.3382046	321	44.34	0.380118787
Utg635700	122933	91.73861386	69	44.18	0.162142035
Utg637570	121691	220.4944853	185.5	44.09	0.812692462
Utg636258	121589	605.6266667	705	44.23	0.316253044
Utg636792	121570	88.08566108	97	49.29	0.986328141
Utg636390	121569	217.2716298	188	44.03	0.444002274
Utg637408	121276	95.68958743	95	44.16	0.637639553
Utg636474	121204	237.7104723	240	44.22	0.761832061
Utg636298	121025	41.38641189	45	40.89	0.934958308
Utg636666	121010	1798.755382	1476	44.28	0.485606313
Utg635940	120854	251.3987854	190	44.18	0.210841098
Utg635932	120408	305.7129456	233	44.17	0.247244722
Utg638064	120237	375.1090909	88	44.33	0.18616145
Utg636652	119920	236.4869215	150	49.81	0.484390735
Utg637078	118796	22.74586777	23	40.85	0.933675145
Utg636136	118711	33.52888889	25	37.66	0.982959186
Utg636034	117973	51.61630219	51	39.48	0.9797487
Utg638902	115096	139.3553719	127	44.09	0.299677135
Utg638578	112620	167.3306452	174.5	44.3	0.73725096
Utg636968	112399	64.71100917	63.5	44.02	0.467391304
Utg636914	111776	52.54427646	50	39.8	0.986382793
Utg635388	111130	94.12173913	90.5	44.2	0.867444228
Utg636360	111014	425.2622601	128	48.57	0.456651408
Utg636280	110957	23.27708333	22	38.88	0.952157417
Utg635416	109233	121.3530612	87	44.16	0.354150758
Utg636752	109046	112.1069042	102	44.04	0.426919721
Utg637792	108779	79.02227171	55	40.06	0.981091094
Utg636282	107391	45.12314225	48	45.74	0.892863499
Utg637864	105750	149.9812207	134.5	35.57	0.995596767
Utg638238	105485	116.4153499	116	44.06	0.403833866
Utg636888	105351	218.7602906	215	44.14	0.332792866
Utg638682	105198	153.372093	141	45.57	0.541596355
Utg637616	105024	47.90432802	49	37.04	0.986942066
Utg636908	104331	189.5	170.5	47.49	0.711772467
Utg635084	103465	124.6859122	54	47.02	0.92836072
Utg636760	103395	44.74285714	53	36.79	0.990043328
Utg636042	102963	124.8762136	124	44.36	0.110358326
Utg636036	102577	43.08602151	45	38.07	0.985357519
Utg636864	102406	21.49757282	22	36.88	0.960524414
Utg636452	101883	63.59459459	58	43.97	0.27660152
Utg637726	101010	149.6555556	89	44.12	0.424397526
Utg637398	100628	139.5364078	155.5	44.2	0.415007736
Utg635788	100557	116.8926014	114	44.35	0.225733182
Utg637786	100069	21.94964029	23	34.44	0.993343538
Utg636080	99108	108.678392	101	43.99	0.472762357
Utg636526	98999	259.7669903	171	44.01	0.55290007
Utg637218	98804	24.08510638	23	40.34	0.991946103
Utg637222	97410	39.36432161	44.5	41.78	0.995344228
Utg636562	97132	79.09176471	72	45.86	0.684446254
Utg634884	96660	78.28534031	60.5	44.09	0.434337349
Utg636994	96572	203.3622449	165.5	43.31	0.900716019
Utg637138	96306	55.63170732	47	43.71	0.692267081
Utg637194	95639	103.0904523	81	44.15	0.465788949
Utg635738	95226	22.68913043	24	38.4	0.982868163
Utg634834	95036	619.9307876	62	47.67	0.921443919
Utg638678	94472	48.4	36	44.15	0.17617866
Utg637590	94347	137.3307494	122	44.09	0.320801233
Utg636370	94138	170.6419437	95	44.29	0.227283331
Utg637472	93972	49.50904393	54	38.94	0.995370072
Utg636060	93306	131.9150485	96	40.61	0.969597927
Utg635842	93284	362.7404372	319.5	44.18	0.820190506
Utg635736	92335	127.9848101	74	44.12	0.428719651
Utg636658	91567	208.551532	50	44.45	0.943474659
Utg635336	90403	39.27173913	33	44.08	0.501757675
Utg637756	87934	279.9704301	29	62.31	0.883478682
Utg636956	85568	105.9820359	90	44.16	0.796594134
Utg637436	85523	49.18918919	50	36.7	0.98263694
Utg636626	84177	381.431677	156.5	44.15	0.269605037
Utg637996	84125	45.35465116	39	44.53	0.994742893
Utg635606	83758	36.2122905	44	37.46	0.988775991
Utg635358	82322	180.8601824	121	62.7	0.89810597
Utg635894	81806	85.73780488	69	43.77	0.483789077
Utg638156	81267	65.10726644	65	43.21	0.997305582
Utg635902	78730	241.0597484	246	44.12	0.408137478
Utg635764	78657	58.29850746	59	35.46	0.84144085
Utg636862	78071	96.80745342	92.5	45.44	0.792744479
Utg635946	77307	46.13623978	47	40.79	0.442697914
Utg636548	77195	23.39107612	24	42.34	0.997242599
Utg635772	77186	77.60451977	67	43.57	0.992475398
Utg637512	77035	138.5564972	130	44.38	0.764140697
Utg637244	76344	79.30981595	89	44.08	0.327256689
Utg635868	75916	56.01572327	59.5	52.58	0.510560634
Utg634888	75739	59.97520661	61	40.88	0.986211989
Utg636922	74696	1716.444805	56	41.69	0.931307928
Utg637604	74654	81.95138889	82	44.07	0.405154639
Utg637762	74057	67.73273273	54	43.92	0.983741516
Utg637842	73927	3945.5	44.5	62.37	0.858357924
Utg637368	73626	63.47094801	67	44.05	0.419978518
Utg637574	72697	114.8522337	119	44.12	0.269491986
Utg638676	72381	59.46258503	55	44.11	0.409831461
Utg637820	71325	55.49677419	48	44.19	0.811430438
Utg635800	70217	55.06382979	26	37.86	0.924386878
Utg637390	69749	87.11032028	93	44.13	0.454830287
Utg636088	69469	73.159375	51	44.05	0.333726763
Utg636882	68156	182.9806202	124.5	44.03	0.313740172
Utg635586	68055	49.24	51	35.91	0.995448769
Utg636044	67438	31.07829181	29	42.31	0.989015778
Utg636618	67155	225.4902724	40	44.11	0.170984456
Utg636566	67074	30.57857143	35	38.03	0.995712208
Utg637486	66311	51.07420495	51	40.93	0.986042806
Utg636032	64624	628.046332	24	41.37	0.920958018
Utg636064	62994	156.5294118	163.5	44.1	0.142614601
Utg638424	62731	21.42352941	22	35.33	0.989013652
Utg635978	62454	84.43902439	90	44.08	0.635904831
Utg636456	60363	36.70238095	44	38.41	0.990562711
Utg635236	59832	35.38554217	29	52.28	0.823444144
Utg635750	58308	127.8979592	67	44.41	0.144251369
Utg635552	57543	22.06024096	22	38.09	0.971284635
Utg636440	56554	24.41365462	24	39.53	0.998546975
Utg636152	56014	201.0533981	54.5	40.47	0.854761038
Utg638294	54710	45.59919028	46	37.28	0.978995997
Utg638748	51811	46.20187793	49	40.39	0.996137272
Utg637704	50797	94.55	96.5	43.95	0.453531599
Utg635022	49089	26.71428571	26	39.78	0.976332351
Utg637316	48780	553.5808081	114	62.51	0.79675425
Utg636880	45065	20.94382022	21	39.22	0.995024765
Utg636522	43571	29.8969697	26	38.2	0.937114673
Utg636100	40175	92.32876712	42.5	43.97	0.521186441
Utg637296	34793	44.2585034	47	39.17	0.989418299
Utg636086	24985	34.31496063	40	36.43	0.998553752
