sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50	contig_size
SAMPLE	Utg636714	no-zero-phased.vcf	2791	1756	892	0	9	193	195.1111111	35	374	1756	16091	30700.33333	5454	123678	276303	2648	2549	1676	0.663141994	0.65751275	35952	358516
SAMPLE	Utg635756	no-zero-phased.vcf	2693	2653	6	0	1	2653	2653	2653	2653	2653	784028	784028	784028	784028	784028	2659	2230	2227	0.997743513	0.998654709	784028	795702
SAMPLE	Utg637786	no-zero-phased.vcf	27	25	1	0	1	25	25	25	25	25	94334	94334	94334	94334	94334	26	7	7	0.961538462	1	94334	100069
SAMPLE	Utg635736	no-zero-phased.vcf	948	543	61	0	2	271.5	271.5	40	503	543	35744.5	35744.5	4221	67268	71489	604	587	528	0.899006623	0.899488927	67268	92335
SAMPLE	Utg635188	no-zero-phased.vcf	155	142	3	1	18	5.5	7.888888889	2	25	142	26263.5	42299.38889	3413	194026	761389	146	2	2	0.97260274	1	23749	1319544
SAMPLE	Utg638590	no-zero-phased.vcf	1002	723	72	0	4	131	180.75	41	420	723	28606.5	37817.75	4726	89332	151271	795	753	683	0.909433962	0.907038513	89332	163734
SAMPLE	Utg636404	no-zero-phased.vcf	524	250	0	0	2	125	125	2	248	250	88341	88341	148	176534	176682	250	219	219	1	1	176534	216184
SAMPLE	Utg634678	no-zero-phased.vcf	16250	15976	23	0	1	15976	15976	15976	15976	15976	7456556	7456556	7456556	7456556	7456556	15999	13311	13301	0.99856241	0.999248742	7456556	7457150
SAMPLE	Utg634674	no-zero-phased.vcf	15062	14492	34	0	1	14492	14492	14492	14492	14492	5981910	5981910	5981910	5981910	5981910	14526	11750	11729	0.997659369	0.998212766	5981910	5987108
SAMPLE	Utg636486	no-zero-phased.vcf	1220	894	3	0	1	894	894	894	894	894	188099	188099	188099	188099	188099	897	706	706	0.996655518	1	188099	190329
SAMPLE	Utg635106	no-zero-phased.vcf	11292	11161	15	0	2	5580.5	5580.5	945	10216	11161	2450530.5	2450530.5	366724	4534337	4901061	11176	9443	9434	0.998657838	0.999046913	4534337	4928679
SAMPLE	Utg634536	no-zero-phased.vcf	10601	10444	16	0	1	10444	10444	10444	10444	10444	4462517	4462517	4462517	4462517	4462517	10460	8721	8720	0.998470363	0.999885334	4462517	4466005
SAMPLE	Utg635220	no-zero-phased.vcf	6526	6008	11	0	1	6008	6008	6008	6008	6008	2604315	2604315	2604315	2604315	2604315	6019	5015	5008	0.998172454	0.998604187	2604315	2611146
SAMPLE	Utg635774	no-zero-phased.vcf	2109	1757	5	0	1	1757	1757	1757	1757	1757	250030	250030	250030	250030	250030	1762	1711	1707	0.997162316	0.997662186	250030	252195
SAMPLE	Utg635142	no-zero-phased.vcf	7395	7256	11	0	1	7256	7256	7256	7256	7256	3553942	3553942	3553942	3553942	3553942	7267	5958	5956	0.998486308	0.999664317	3553942	3560853
SAMPLE	Utg634526	no-zero-phased.vcf	39465	38883	57	0	1	38883	38883	38883	38883	38883	14361495	14361495	14361495	14361495	14361495	38940	32901	32885	0.99853621	0.999513693	14361495	14364035
SAMPLE	Utg634904	no-zero-phased.vcf	5689	5483	10	0	1	5483	5483	5483	5483	5483	2362003	2362003	2362003	2362003	2362003	5493	4589	4584	0.998179501	0.998910438	2362003	2366764
SAMPLE	Utg637326	no-zero-phased.vcf	952	686	185	0	2	343	343	175	511	686	73864	73864	25347	122381	147728	871	865	682	0.787600459	0.788439306	122381	169696
SAMPLE	Utg634862	no-zero-phased.vcf	26205	25734	41	0	1	25734	25734	25734	25734	25734	10013818	10013818	10013818	10013818	10013818	25775	21556	21546	0.998409311	0.999536092	10013818	10014508
SAMPLE	Utg635288	no-zero-phased.vcf	1722	1419	2	0	1	1419	1419	1419	1419	1419	401885	401885	401885	401885	401885	1421	1164	1163	0.99859254	0.999140893	401885	408187
SAMPLE	Utg635210	no-zero-phased.vcf	8678	8419	13	0	2	4209.5	4209.5	2178	6241	8419	1886018.5	1886018.5	964321	2807716	3772037	8432	7008	7003	0.998458254	0.99928653	2807716	3780387
SAMPLE	Utg635476	no-zero-phased.vcf	3321	2958	7	0	1	2958	2958	2958	2958	2958	1630599	1630599	1630599	1630599	1630599	2965	2431	2430	0.997639123	0.999588647	1630599	1639126
SAMPLE	Utg638902	no-zero-phased.vcf	898	504	358	0	7	56	72	6	131	504	10616	8750.142857	1430	16369	61251	862	852	501	0.584686775	0.588028169	3813	115096
SAMPLE	Utg634654	no-zero-phased.vcf	9906	9185	212	0	5	321	1837	5	8313	9185	15848	841868.4	3336	4167420	4209342	9397	7794	7610	0.977439608	0.976392096	4167420	4395105
SAMPLE	Utg637444	no-zero-phased.vcf	1784	1028	300	0	6	174.5	171.3333333	38	324	1028	27202	29701.83333	3213	52032	178211	1328	1297	1006	0.774096386	0.775636083	27921	249991
SAMPLE	Utg635586	no-zero-phased.vcf	132	132	0	0	1	132	132	132	132	132	66581	66581	66581	66581	66581	132	115	115	1	1	66581	68055
SAMPLE	Utg634744	no-zero-phased.vcf	9529	9391	12	0	2	4695.5	4695.5	3849	5542	9391	2086873.5	2086873.5	1641449	2532298	4173747	9403	7716	7711	0.998723812	0.999351996	2532298	4222159
SAMPLE	Utg634616	no-zero-phased.vcf	784	552	5	0	42	7.5	13.14285714	2	144	552	42385.5	63260.02381	665	281120	2656921	557	120	120	0.991023339	1	53584	4166415
SAMPLE	Utg635216	no-zero-phased.vcf	142	123	2	0	10	11	12.3	2	36	123	60022	70213.6	8733	243975	702136	125	11	10	0.984	0.909090909	61930	1030353
SAMPLE	Utg635306	no-zero-phased.vcf	35938	35327	73	0	1	35327	35327	35327	35327	35327	14802615	14802615	14802615	14802615	14802615	35400	29350	29321	0.997937853	0.999011925	14802615	14807412
SAMPLE	Utg635196	no-zero-phased.vcf	29863	29008	34	0	1	29008	29008	29008	29008	29008	9491161	9491161	9491161	9491161	9491161	29042	24154	24149	0.998829282	0.999792995	9491161	9507374
SAMPLE	Utg634996	no-zero-phased.vcf	9157	8786	20	0	1	8786	8786	8786	8786	8786	3911930	3911930	3911930	3911930	3911930	8806	7305	7299	0.997728821	0.999178645	3911930	3922805
SAMPLE	Utg635528	no-zero-phased.vcf	97	49	4	0	7	6	7	3	17	49	33831	31064.14286	4060	64148	217449	53	11	10	0.924528302	0.909090909	0	545096
SAMPLE	Utg635574	no-zero-phased.vcf	3170	3148	3	0	1	3148	3148	3148	3148	3148	1358012	1358012	1358012	1358012	1358012	3151	2568	2567	0.999047921	0.999610592	1358012	1359677
SAMPLE	Utg635028	no-zero-phased.vcf	22550	21968	42	0	1	21968	21968	21968	21968	21968	7931248	7931248	7931248	7931248	7931248	22010	18434	18415	0.998091776	0.998969296	7931248	7932169
SAMPLE	Utg634572	no-zero-phased.vcf	17438	17076	33	0	1	17076	17076	17076	17076	17076	7418640	7418640	7418640	7418640	7418640	17109	14169	14161	0.998071191	0.999435387	7418640	7425688
SAMPLE	Utg634644	no-zero-phased.vcf	14832	13805	41	0	1	13805	13805	13805	13805	13805	4464460	4464460	4464460	4464460	4464460	13846	11511	11489	0.997038856	0.998088785	4464460	4464862
SAMPLE	Utg635282	no-zero-phased.vcf	596	278	85	0	3	126	92.66666667	5	147	278	28441	22934.33333	2239	38123	68803	363	348	267	0.76584022	0.767241379	28441	131542
SAMPLE	Utg635450	no-zero-phased.vcf	9025	8916	16	0	1	8916	8916	8916	8916	8916	4305332	4305332	4305332	4305332	4305332	8932	7346	7340	0.998208688	0.999183229	4305332	4331387
SAMPLE	Utg635734	no-zero-phased.vcf	3400	3337	5	0	1	3337	3337	3337	3337	3337	1510752	1510752	1510752	1510752	1510752	3342	2774	2772	0.99850389	0.999279019	1510752	1513001
SAMPLE	Utg636086	no-zero-phased.vcf	78	78	0	0	1	78	78	78	78	78	14284	14284	14284	14284	14284	78	61	61	1	1	14284	24985
SAMPLE	Utg634740	no-zero-phased.vcf	24778	24271	40	0	1	24271	24271	24271	24271	24271	10729880	10729880	10729880	10729880	10729880	24311	20180	20165	0.998354654	0.99925669	10729880	10736493
SAMPLE	Utg636562	no-zero-phased.vcf	1183	473	75	0	3	100	157.6666667	75	298	473	15317	22987.33333	13691	39954	68962	548	381	318	0.863138686	0.834645669	15317	97132
SAMPLE	Utg636096	no-zero-phased.vcf	7767	7598	19	0	1	7598	7598	7598	7598	7598	2814321	2814321	2814321	2814321	2814321	7617	6340	6332	0.99750558	0.99873817	2814321	2817849
SAMPLE	Utg634588	no-zero-phased.vcf	23618	22986	38	0	1	22986	22986	22986	22986	22986	9110603	9110603	9110603	9110603	9110603	23024	19102	19090	0.998349548	0.999371794	9110603	9126149
SAMPLE	Utg634916	no-zero-phased.vcf	26304	25628	43	0	1	25628	25628	25628	25628	25628	11014009	11014009	11014009	11014009	11014009	25671	21034	21020	0.998324958	0.999334411	11014009	11014572
SAMPLE	Utg637512	no-zero-phased.vcf	640	589	14	0	1	589	589	589	589	589	72610	72610	72610	72610	72610	603	593	580	0.976782753	0.978077572	72610	77035
SAMPLE	Utg637864	no-zero-phased.vcf	218	130	0	0	1	130	130	130	130	130	105266	105266	105266	105266	105266	130	86	86	1	1	105266	105750
SAMPLE	Utg634576	no-zero-phased.vcf	15594	15433	29	0	1	15433	15433	15433	15433	15433	6618937	6618937	6618937	6618937	6618937	15462	12843	12836	0.998124434	0.999454956	6618937	6642003
SAMPLE	Utg636752	no-zero-phased.vcf	1116	803	235	0	1	803	803	803	803	803	85658	85658	85658	85658	85658	1038	1024	792	0.773603083	0.7734375	85658	109046
SAMPLE	Utg635844	no-zero-phased.vcf	190	164	2	0	19	8	8.631578947	3	36	164	36509	51699	3524	219128	982281	166	21	21	0.987951807	1	33848	1732925
SAMPLE	Utg635460	no-zero-phased.vcf	190	181	2	0	10	8	18.1	3	92	181	53384.5	61297.4	5456	192738	612974	183	80	80	0.989071038	1	37110	1096832
SAMPLE	Utg634974	no-zero-phased.vcf	5478	5404	9	0	1	5404	5404	5404	5404	5404	1476901	1476901	1476901	1476901	1476901	5413	4647	4645	0.998337336	0.999569615	1476901	1488207
SAMPLE	Utg635564	no-zero-phased.vcf	853	758	72	0	1	758	758	758	758	758	133569	133569	133569	133569	133569	830	810	738	0.913253012	0.911111111	133569	133867
SAMPLE	Utg634908	no-zero-phased.vcf	13398	13171	18	0	1	13171	13171	13171	13171	13171	6261680	6261680	6261680	6261680	6261680	13189	10978	10975	0.998635226	0.999726726	6261680	6276710
SAMPLE	Utg637900	no-zero-phased.vcf	633	544	43	0	1	544	544	544	544	544	126454	126454	126454	126454	126454	587	572	530	0.926746167	0.926573427	126454	126921
SAMPLE	Utg637762	no-zero-phased.vcf	636	221	2	0	1	221	221	221	221	221	68761	68761	68761	68761	68761	223	121	120	0.99103139	0.991735537	68761	74057
SAMPLE	Utg635408	no-zero-phased.vcf	2615	2568	6	0	1	2568	2568	2568	2568	2568	1098819	1098819	1098819	1098819	1098819	2574	2108	2106	0.997668998	0.999051233	1098819	1100124
SAMPLE	Utg636476	no-zero-phased.vcf	248	152	1	0	1	152	152	152	152	152	134312	134312	134312	134312	134312	153	93	92	0.993464052	0.989247312	134312	140075
SAMPLE	Utg634728	no-zero-phased.vcf	18477	18237	23	0	1	18237	18237	18237	18237	18237	7840131	7840131	7840131	7840131	7840131	18260	15336	15327	0.998740416	0.999413146	7840131	7842124
SAMPLE	Utg636306	no-zero-phased.vcf	2209	1819	3	0	1	1819	1819	1819	1819	1819	910805	910805	910805	910805	910805	1822	1536	1536	0.998353458	1	910805	913339
SAMPLE	Utg634734	no-zero-phased.vcf	14611	14161	26	0	1	14161	14161	14161	14161	14161	6497268	6497268	6497268	6497268	6497268	14187	11821	11816	0.998167336	0.999577024	6497268	6497979
SAMPLE	Utg634816	no-zero-phased.vcf	35778	35145	63	0	1	35145	35145	35145	35145	35145	16231744	16231744	16231744	16231744	16231744	35208	28918	28892	0.998210634	0.999100906	16231744	16232544
SAMPLE	Utg635064	no-zero-phased.vcf	1266	1238	5	0	1	1238	1238	1238	1238	1238	457238	457238	457238	457238	457238	1243	1057	1056	0.995977474	0.999053926	457238	497342
SAMPLE	Utg636196	no-zero-phased.vcf	1067	634	44	0	3	269	211.3333333	35	330	634	82299	68188	2757	119508	204564	678	660	617	0.935103245	0.934848485	82299	248709
SAMPLE	Utg635428	no-zero-phased.vcf	946	927	1	0	1	927	927	927	927	927	350793	350793	350793	350793	350793	928	777	777	0.998922414	1	350793	359145
SAMPLE	Utg634624	no-zero-phased.vcf	32449	31834	62	0	2	15917	15917	35	31799	31834	7290189	7290189	23513	14556865	14580378	31896	26402	26376	0.998056183	0.999015226	14556865	14601993
SAMPLE	Utg634968	no-zero-phased.vcf	12327	12133	30	0	1	12133	12133	12133	12133	12133	5740219	5740219	5740219	5740219	5740219	12163	10036	10031	0.997533503	0.999501794	5740219	5742470
SAMPLE	Utg636834	no-zero-phased.vcf	2563	1579	647	0	10	87.5	157.9	8	668	1579	14363	23098.7	923	69542	230987	2226	2164	1535	0.709344115	0.709334566	16168	373519
SAMPLE	Utg635936	no-zero-phased.vcf	869	565	166	0	4	130	141.25	30	275	565	32066	30378.5	7132	50250	121514	731	715	551	0.772913817	0.770629371	37230	148021
SAMPLE	Utg634532	no-zero-phased.vcf	14290	13994	22	0	4	1449	3498.5	2	11094	13994	556028.5	1263118.5	1042	3939375	5052474	14016	11776	11769	0.998430365	0.999405571	3939375	5273291
SAMPLE	Utg637604	no-zero-phased.vcf	457	367	30	0	2	183.5	183.5	39	328	367	31095	31095	10085	52105	62190	397	381	354	0.924433249	0.929133858	52105	74654
SAMPLE	Utg637234	no-zero-phased.vcf	1002	812	3	0	1	812	812	812	812	812	174507	174507	174507	174507	174507	815	793	790	0.996319018	0.996216898	174507	177771
SAMPLE	Utg635198	no-zero-phased.vcf	21492	21045	44	0	2	10522.5	10522.5	7130	13915	21045	4753532	4753532	3074903	6432161	9507064	21089	17427	17413	0.997913604	0.999196649	6432161	9534452
SAMPLE	Utg635200	no-zero-phased.vcf	8824	8699	15	0	1	8699	8699	8699	8699	8699	3604194	3604194	3604194	3604194	3604194	8714	7156	7152	0.998278632	0.999441029	3604194	3610209
SAMPLE	Utg635962	no-zero-phased.vcf	2150	1896	1	0	1	1896	1896	1896	1896	1896	646177	646177	646177	646177	646177	1897	1568	1568	0.999472852	1	646177	666091
SAMPLE	Utg634876	no-zero-phased.vcf	12268	12072	21	0	2	6036	6036	3071	9001	12072	2493650.5	2493650.5	1215293	3772008	4987301	12093	10258	10252	0.998263458	0.999415091	3772008	5034881
SAMPLE	Utg634854	no-zero-phased.vcf	8765	8571	14	0	1	8571	8571	8571	8571	8571	3649855	3649855	3649855	3649855	3649855	8585	7099	7090	0.998369249	0.998732216	3649855	3663986
SAMPLE	Utg634774	no-zero-phased.vcf	51643	50543	83	0	2	25271.5	25271.5	20055	30488	50543	10592541.5	10592541.5	8954945	12230138	21185083	50626	42071	42034	0.998360526	0.999120534	12230138	21195092
SAMPLE	Utg638156	no-zero-phased.vcf	350	244	0	0	1	244	244	244	244	244	80194	80194	80194	80194	80194	244	195	195	1	1	80194	81267
SAMPLE	Utg634772	no-zero-phased.vcf	13954	13319	14	0	3	287	4439.666667	87	12945	13319	16406	1753043.333	6647	5236077	5259130	13333	11040	11037	0.998949974	0.999728261	5236077	5279846
SAMPLE	Utg635964	no-zero-phased.vcf	635	582	0	0	2	291	291	17	565	582	99117	99117	87674	110560	198234	582	474	474	1	1	87674	230137
SAMPLE	Utg636244	no-zero-phased.vcf	819	803	2	0	1	803	803	803	803	803	281660	281660	281660	281660	281660	805	673	672	0.997515528	0.998514116	281660	283360
SAMPLE	Utg636626	no-zero-phased.vcf	331	211	62	0	1	211	211	211	211	211	48848	48848	48848	48848	48848	273	265	207	0.772893773	0.781132075	48848	84177
SAMPLE	Utg637022	no-zero-phased.vcf	929	851	47	0	1	851	851	851	851	851	162917	162917	162917	162917	162917	898	886	841	0.94766147	0.949209932	162917	164156
SAMPLE	Utg636300	no-zero-phased.vcf	42	39	0	0	2	19.5	19.5	10	29	39	76632	76632	46075	107189	153264	39	9	9	1	1	46075	222195
SAMPLE	Utg635612	no-zero-phased.vcf	1498	1169	12	0	1	1169	1169	1169	1169	1169	521669	521669	521669	521669	521669	1181	996	991	0.989839119	0.99497992	521669	530765
SAMPLE	Utg635604	no-zero-phased.vcf	391	385	2	0	1	385	385	385	385	385	141854	141854	141854	141854	141854	387	335	335	0.994832041	1	141854	169614
SAMPLE	Utg636266	no-zero-phased.vcf	191	78	2	0	5	8	15.6	2	51	78	27974	30186.4	2463	60731	150932	80	45	44	0.975	0.977777778	23501	293998
SAMPLE	Utg635946	no-zero-phased.vcf	363	311	1	0	1	311	311	311	311	311	76489	76489	76489	76489	76489	312	244	243	0.996794872	0.995901639	76489	77307
SAMPLE	Utg635836	no-zero-phased.vcf	3238	2643	340	0	10	220.5	264.3	6	1002	2643	31663.5	48634.7	1267	188777	486347	2983	2882	2550	0.886020784	0.884802221	74355	524357
SAMPLE	Utg636000	no-zero-phased.vcf	7795	7569	13	0	1	7569	7569	7569	7569	7569	3383397	3383397	3383397	3383397	3383397	7582	6117	6112	0.998285413	0.999182606	3383397	3388698
SAMPLE	Utg634752	no-zero-phased.vcf	11994	11373	17	0	1	11373	11373	11373	11373	11373	4972355	4972355	4972355	4972355	4972355	11390	9504	9499	0.998507463	0.999473906	4972355	4977083
SAMPLE	Utg634952	no-zero-phased.vcf	4076	2977	715	0	6	371.5	496.1666667	49	1519	2977	39851	49412.83333	9587	131195	296477	3692	3556	2872	0.806338028	0.807649044	41276	407742
SAMPLE	Utg635362	no-zero-phased.vcf	5620	5513	6	0	1	5513	5513	5513	5513	5513	2270058	2270058	2270058	2270058	2270058	5519	4587	4586	0.998912847	0.999781993	2270058	2286506
SAMPLE	Utg635966	no-zero-phased.vcf	46	41	0	0	4	10.5	10.25	4	16	41	66361	60474.25	19512	89663	241897	41	1	1	1	1	51016	344785
SAMPLE	Utg635022	no-zero-phased.vcf	3	2	1	0	1	2	2	2	2	2	187	187	187	187	187	3	1	1	0.666666667	1	0	49089
SAMPLE	Utg636264	no-zero-phased.vcf	601	590	2	0	1	590	590	590	590	590	278920	278920	278920	278920	278920	592	471	469	0.996621622	0.995753715	278920	289102
SAMPLE	Utg637472	no-zero-phased.vcf	197	197	0	0	1	197	197	197	197	197	92494	92494	92494	92494	92494	197	148	148	1	1	92494	93972
SAMPLE	Utg636522	no-zero-phased.vcf	402	401	0	0	1	401	401	401	401	401	7930	7930	7930	7930	7930	401	356	356	1	1	0	43571
SAMPLE	Utg635370	no-zero-phased.vcf	1076	1058	2	0	1	1058	1058	1058	1058	1058	467829	467829	467829	467829	467829	1060	864	864	0.998113208	1	467829	482783
SAMPLE	Utg635652	no-zero-phased.vcf	506	465	2	0	1	465	465	465	465	465	333038	333038	333038	333038	333038	467	385	385	0.995717345	1	333038	334463
SAMPLE	Utg635380	no-zero-phased.vcf	1106	933	3	0	2	466.5	466.5	15	918	933	204834	204834	3755	405913	409668	936	781	780	0.996794872	0.99871959	405913	429524
SAMPLE	Utg634738	no-zero-phased.vcf	14782	14435	18	0	1	14435	14435	14435	14435	14435	6576020	6576020	6576020	6576020	6576020	14453	11895	11887	0.998754584	0.999327449	6576020	6586680
SAMPLE	Utg636572	no-zero-phased.vcf	1279	907	258	0	4	231.5	226.75	63	381	907	50058.5	57447.75	8732	120942	229791	1165	1138	889	0.778540773	0.781195079	83594	274345
SAMPLE	Utg635650	no-zero-phased.vcf	10505	10037	14	0	6	6	1672.833333	2	7893	10037	61879.5	755679	3931	3478054	4534074	10051	8442	8436	0.998607104	0.999289268	3478054	4696473
SAMPLE	Utg635862	no-zero-phased.vcf	2424	1959	286	0	7	73	279.8571429	15	1044	1959	12694	69065.71429	2514	232067	483460	2245	2197	1917	0.872605791	0.872553482	207949	518863
SAMPLE	Utg635356	no-zero-phased.vcf	4525	4500	6	0	1	4500	4500	4500	4500	4500	2295949	2295949	2295949	2295949	2295949	4506	3868	3868	0.998668442	1	2295949	2297274
SAMPLE	Utg637274	no-zero-phased.vcf	976	856	36	0	3	281	285.3333333	128	447	856	61729	70401.66667	30898	118578	211205	892	867	832	0.959641256	0.959630911	61729	244574
SAMPLE	Utg635326	no-zero-phased.vcf	786	757	0	0	2	378.5	378.5	2	755	757	160460	160460	1	320919	320920	757	609	609	1	1	320919	348705
SAMPLE	Utg636798	no-zero-phased.vcf	2427	2053	84	0	2	1026.5	1026.5	99	1954	2053	151383.5	151383.5	143160	159607	302767	2137	2073	1992	0.96069256	0.960926194	143160	321331
SAMPLE	Utg634522	no-zero-phased.vcf	9139	7895	29	0	1	7895	7895	7895	7895	7895	3458340	3458340	3458340	3458340	3458340	7924	6638	6621	0.996340232	0.997438988	3458340	3459074
SAMPLE	Utg634930	no-zero-phased.vcf	10813	10594	21	0	2	5297	5297	23	10571	10594	2173135	2173135	33089	4313181	4346270	10615	8708	8700	0.998021667	0.999081305	4313181	4375732
SAMPLE	Utg638458	no-zero-phased.vcf	1420	1162	104	0	1	1162	1162	1162	1162	1162	172340	172340	172340	172340	172340	1266	1202	1102	0.917851501	0.916805324	172340	175176
SAMPLE	Utg637330	no-zero-phased.vcf	1111	711	5	0	2	355.5	355.5	27	684	711	71972	71972	9868	134076	143944	716	647	642	0.99301676	0.992272025	134076	152189
SAMPLE	Utg635816	no-zero-phased.vcf	4719	3324	1086	0	10	179.5	332.4	24	1762	3324	20288	53469.3	2829	359136	534693	4410	4341	3270	0.753741497	0.753282654	359136	622975
SAMPLE	Utg637258	no-zero-phased.vcf	1417	1025	105	0	4	209	256.25	33	574	1025	29442	28044.75	1956	51339	112179	1130	1112	1009	0.907079646	0.907374101	45654	141780
SAMPLE	Utg634936	no-zero-phased.vcf	6084	5850	23	0	1	5850	5850	5850	5850	5850	2928762	2928762	2928762	2928762	2928762	5873	4881	4869	0.996083773	0.997541487	2928762	2931129
SAMPLE	Utg635002	no-zero-phased.vcf	118	59	3	0	8	6.5	7.375	3	15	59	41923	47560.375	20247	88050	380483	62	2	2	0.951612903	1	21048	678434
SAMPLE	Utg636360	no-zero-phased.vcf	720	362	331	0	3	149	120.6666667	48	165	362	21113	22800.66667	12734	34555	68402	693	673	349	0.522366522	0.518573551	21113	111014
SAMPLE	Utg635730	no-zero-phased.vcf	227	219	1	0	3	38	73	3	178	219	164175	165214	2491	328976	495642	220	132	132	0.995454545	1	328976	634040
SAMPLE	Utg634662	no-zero-phased.vcf	38797	38060	71	0	1	38060	38060	38060	38060	38060	17523839	17523839	17523839	17523839	17523839	38131	31396	31371	0.998137998	0.99920372	17523839	17527135
SAMPLE	Utg636612	no-zero-phased.vcf	1006	816	3	0	1	816	816	816	816	816	241102	241102	241102	241102	241102	819	807	804	0.996336996	0.996282528	241102	241400
SAMPLE	Utg636960	no-zero-phased.vcf	1361	968	320	0	4	149	242	45	625	968	23293.5	42385.5	5284	117671	169542	1288	1249	935	0.751552795	0.748598879	117671	201070
SAMPLE	Utg635982	no-zero-phased.vcf	4877	4703	6	0	1	4703	4703	4703	4703	4703	2357677	2357677	2357677	2357677	2357677	4709	3867	3863	0.998725844	0.998965606	2357677	2362601
SAMPLE	Utg635646	no-zero-phased.vcf	1949	1734	11	0	1	1734	1734	1734	1734	1734	640273	640273	640273	640273	640273	1745	1361	1350	0.993696275	0.991917708	640273	649098
SAMPLE	Utg634544	no-zero-phased.vcf	10591	10146	25	0	1	10146	10146	10146	10146	10146	4686347	4686347	4686347	4686347	4686347	10171	8111	8095	0.997542031	0.99802737	4686347	4691552
SAMPLE	Utg635498	no-zero-phased.vcf	5040	4756	26	0	1	4756	4756	4756	4756	4756	1556622	1556622	1556622	1556622	1556622	4782	4067	4047	0.994562944	0.99508237	1556622	1560847
SAMPLE	Utg635578	no-zero-phased.vcf	411	407	0	0	1	407	407	407	407	407	228899	228899	228899	228899	228899	407	341	341	1	1	228899	243661
SAMPLE	Utg635302	no-zero-phased.vcf	6508	6285	19	0	1	6285	6285	6285	6285	6285	2699402	2699402	2699402	2699402	2699402	6304	5164	5151	0.996986041	0.997482572	2699402	2700664
SAMPLE	Utg636658	no-zero-phased.vcf	198	168	0	0	1	168	168	168	168	168	62526	62526	62526	62526	62526	168	135	135	1	1	62526	91567
SAMPLE	Utg634842	no-zero-phased.vcf	46607	45240	89	0	1	45240	45240	45240	45240	45240	17666261	17666261	17666261	17666261	17666261	45329	37713	37673	0.998036577	0.998939358	17666261	17672335
SAMPLE	Utg634784	no-zero-phased.vcf	16375	16152	34	0	2	8076	8076	1111	15041	16152	3712169	3712169	525711	6898627	7424338	16186	13429	13425	0.997899419	0.999702137	6898627	7444800
SAMPLE	Utg638286	no-zero-phased.vcf	947	777	116	0	2	388.5	388.5	380	397	777	57712.5	57712.5	43670	71755	115425	893	854	740	0.870100784	0.866510539	71755	125951
SAMPLE	Utg636406	no-zero-phased.vcf	2952	1864	693	0	10	142	186.4	50	496	1864	18731	20640.3	5144	47487	206403	2557	2502	1831	0.728979273	0.731814548	17876	296360
SAMPLE	Utg638804	no-zero-phased.vcf	1644	929	503	0	7	48	132.7142857	12	451	929	14015	24084.28571	4998	77961	168590	1432	1394	904	0.648743017	0.648493544	10405	301817
SAMPLE	Utg635554	no-zero-phased.vcf	257	236	2	0	9	9	26.22222222	2	171	236	56018	49796.44444	967	128494	448168	238	144	144	0.991596639	1	56018	732488
SAMPLE	Utg634846	no-zero-phased.vcf	14165	13785	30	0	2	6892.5	6892.5	1460	12325	13785	2952297	2952297	606572	5298022	5904594	13815	11169	11159	0.997828447	0.999104665	5298022	5948135
SAMPLE	Utg634608	no-zero-phased.vcf	3451	3365	8	0	1	3365	3365	3365	3365	3365	1251986	1251986	1251986	1251986	1251986	3373	2818	2814	0.997628224	0.998580554	1251986	1254664
SAMPLE	Utg636928	no-zero-phased.vcf	1691	951	3	0	2	475.5	475.5	83	868	951	83114	83114	18203	148025	166228	954	844	841	0.996855346	0.996445498	148025	173923
SAMPLE	Utg634938	no-zero-phased.vcf	14823	14410	19	0	1	14410	14410	14410	14410	14410	6679216	6679216	6679216	6679216	6679216	14429	12181	12176	0.998683207	0.999589525	6679216	6682062
SAMPLE	Utg637756	no-zero-phased.vcf	815	524	132	0	2	262	262	84	440	524	11322	11322	10944	11700	22644	656	581	461	0.798780488	0.793459552	0	87934
SAMPLE	Utg634912	no-zero-phased.vcf	18849	18341	46	0	11	11	1667.363636	2	18138	18341	48507	648547.1818	6166	6569422	7134019	18387	15335	15312	0.997498232	0.998500163	6569422	7608842
SAMPLE	Utg634838	no-zero-phased.vcf	6881	6429	18	0	20	7.5	321.45	2	5692	6429	39690	167696.65	2774	2476187	3353933	6447	4918	4910	0.997208004	0.998373322	2476187	4044167
SAMPLE	Utg635794	no-zero-phased.vcf	895	864	0	0	1	864	864	864	864	864	358774	358774	358774	358774	358774	864	663	663	1	1	358774	359636
SAMPLE	Utg635354	no-zero-phased.vcf	1513	1264	1	0	1	1264	1264	1264	1264	1264	335277	335277	335277	335277	335277	1265	1072	1072	0.999209486	1	335277	340834
SAMPLE	Utg634542	no-zero-phased.vcf	34957	33999	70	0	1	33999	33999	33999	33999	33999	15094287	15094287	15094287	15094287	15094287	34069	28138	28107	0.997945346	0.998898287	15094287	15100729
SAMPLE	Utg635134	no-zero-phased.vcf	12527	12251	24	0	2	6125.5	6125.5	29	12222	12251	2635697	2635697	10138	5261256	5271394	12275	10167	10156	0.998044807	0.998918068	5261256	5283650
